word_id,spelling,dictionary_headword,phonetic_reference,translation_reference,definition_en_reference,inflections_reference,source_id,match_method,review_status,issues
cet4-w-ff701617e9aaa921796f,abundant,abundant,ә'bʌndәnt,"a. 丰富的, 充分的, 大量的",a. present in great quantity,,ecdict-bc015ed2e24a,exact,draft,
cet4-w-b64c7215f2b60d098f09,abuse,abuse,ә'bju:s.ә'bju:z,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待","n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively",d:abused/s:abuses/i:abusing/3:abuses/p:abused,ecdict-bc015ed2e24a,exact,draft,
cet4-w-99b2e6fe3c2fe7bae70f,abusive,abusive,ә'bju:siv,"a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的","s. expressing offensive reproach
s. characterized by physical or psychological maltreatment",,ecdict-bc015ed2e24a,exact,draft,
cet4-w-adc37503995395872304,academic,academic,.ækә'demik,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员","a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects",s:academics,ecdict-bc015ed2e24a,exact,draft,
cet4-w-22dd7b5151742e07ab2b,academician,academician,ә.kædә'miʃәn,"n. 学会会员, 院士, 学究, 大学生, 学者","n. someone elected to honorary membership in an academy
n. a scholar who is skilled in academic disputation
n. an educator who works at a college or university",s:academicians,ecdict-bc015ed2e24a,exact,draft,
cet4-w-552641985e4cd047e28b,academy,academy,ә'kædәmi,"n. 学院, 院校, 学会","n. a secondary school (usually private)
n. an institution for the advancement of art or science or literature
n. a school for special training
n. a learned establishment for the advancement of knowledge",s:academies,ecdict-bc015ed2e24a,exact,draft,
cet4-w-ea78159e6b442c05331c,accelerate,accelerate,әk'selәreit,"v. 加速, 促进","v. move faster
v. cause to move faster",p:accelerated/d:accelerated/i:accelerating/3:accelerates,ecdict-bc015ed2e24a,exact,draft,
cet4-w-05e383312cbf7488687e,acceleration,acceleration,әk.selә'reiʃәn,"n. 加速, 促进, 加速度
[化] 加速度","n. an increase in rate of change
n. the act of accelerating; increasing the speed
n. (physics) a rate of increase of velocity",s:accelerations,ecdict-bc015ed2e24a,exact,draft,
cet4-w-a74d5aaf2d89f72b022e,accent,accent,'æksәnt,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调","n. distinctive manner of oral expression
n. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation",s:accents/p:accented/i:accenting/d:accented/3:accents,ecdict-bc015ed2e24a,exact,draft,
cet4-w-fe986222f5116ea3b17e,accept,accept,әk'sept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意","v. consider or hold as true
v. receive willingly something given or offered
v. give an affirmative reply to; respond favorably to
v. react favorably to; consider right and proper",d:accepted/p:accepted/i:accepting/3:accepts,ecdict-bc015ed2e24a,exact,draft,
cet4-w-6cd94ae4886768d442f2,acceptable,acceptable,әk'septәbl,"a. 可接受的, 合意的, 可忍受的","a. worthy of acceptance or satisfactory
s. judged to be in conformity with approved usage
s. adequate for the purpose",,ecdict-bc015ed2e24a,exact,draft,
cet4-w-45d62199f67daa2d9ed8,acceptance,acceptance,әk'septәns,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
[经] 承兑, 认付, (工程)验收","n. the state of being acceptable and accepted
n. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)
n. banking: a time draft drawn on and accepted by a bank
n. the act of taking something that is offered",s:acceptances,ecdict-bc015ed2e24a,exact,draft,
cet4-w-6884dbea1171da92f87d,access,access,'ækses,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
[计] 访问, 存取","n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information",d:accessed/i:accessing/3:accesses/s:accesses/p:accessed,ecdict-bc015ed2e24a,exact,draft,
cet4-w-5caf0a3aa0c59b821237,accessible,accessible,әk'sesәbl,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的","a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly",,ecdict-bc015ed2e24a,exact,draft,
cet4-w-0f4159cadc2af6a38502,accident,accident,'æksidәnt,"n. 意外事件, 机遇, 事故, 次要方面
[化] 意外事故; 事故","n. an unfortunate mishap; especially one causing damage or injury
n. anything that happens suddenly or by chance without an apparent cause",s:accidents,ecdict-bc015ed2e24a,exact,draft,
cet4-w-df7ac4809139e92350df,accidental,accidental,.æksi'dentl,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面","n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
s. happening by chance or unexpectedly or unintentionally",s:accidentals,ecdict-bc015ed2e24a,exact,draft,
cet4-w-1f2a401710d0596de35f,accommodate,accommodate,ә'kɒmәdeit,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应","v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)",d:accommodated/i:accommodating/3:accommodates/p:accommodated,ecdict-bc015ed2e24a,exact,draft,
cet4-w-1edda9ffe6c8d05f5ef0,accommodation,accommodation,ә.kɒmә'deiʃәn,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
[医] 调节(眼); 适应","n. a settlement of differences
n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
n. living quarters provided for public convenience
n. the act of providing something (lodging or seat or food) to meet a need",s:accommodations,ecdict-bc015ed2e24a,exact,draft,
cet4-w-7580e0daca7bf28654b8,accompany,accompany,ә'kʌmpәni,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱",v. go or travel along with,d:accompanied/p:accompanied/i:accompanying/3:accompanies,ecdict-bc015ed2e24a,exact,draft,
cet4-w-d740153e791bc21b4bd6,accomplish,accomplish,ә'kʌmpliʃ,"vt. 完成, 达到, 实现, 使完美","v put in effect
v to gain with effort",d:accomplished/p:accomplished/i:accomplishing/3:accomplishes,ecdict-bc015ed2e24a,exact,draft,
cet4-w-e8eb86c966ce85884d0d,accomplishment,accomplishment,ә'kʌmpliʃmәnt,"n. 成就, 完成",n. the action of accomplishing something,s:accomplishments,ecdict-bc015ed2e24a,exact,draft,
cet4-w-d74307e606e88ed5867e,accord,accord,ә'kɒ:d,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合","n. concurrence of opinion
n. sympathetic compatibility
v. allow to have",i:according/d:accorded/3:accords/s:accords/p:accorded,ecdict-bc015ed2e24a,exact,draft,
cet4-w-26b19ca0db642361e9b8,accordance,accordance,ә'kɒ:dәns,"n. 一致, 和谐",n. the act of granting rights,,ecdict-bc015ed2e24a,exact,draft,
cet4-w-593fc9aa437f4a7f8a46,according to,according to,,"根据, 按照；取决于；据…所说",,,ecdict-bc015ed2e24a,exact,draft,音标缺失
cet4-w-4c4dbcf45110b86d739b,accordingly,accordingly,ә'kɒ:diŋli,"adv. 相应地, 因此, 于是",r. in accordance with,,ecdict-bc015ed2e24a,exact,draft,
cet4-w-502dc8470d46995e3b29,account,account,ә'kaunt,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
[计] 帐户, 帐号","n. a formal contractual relationship established to provide for regular banking or brokerage or business services
n. importance or value
n. a statement of recent transactions and the resulting balance
n. the quality of taking advantage",s:accounts/d:accounted/i:accounting/3:accounts/p:accounted,ecdict-bc015ed2e24a,exact,draft,
cet4-w-d3767c473ce4cee7c457,accountability,accountability,ә.kauntә'biliti,"n. 负有责任, 可说明性
[化] 衡算计量",n. responsibility to someone or for some activity,s:accountabilities,ecdict-bc015ed2e24a,exact,draft,
cet4-w-9f4e5df3b88f94a08810,accountable,accountable,ә'kauntәbl,"a. 负有责任的, 可说明的, 可解释的
[经] 负有责任的",s. liable to account for one's actions,,ecdict-bc015ed2e24a,exact,draft,
cet4-w-fe4295e59378fe30b6a6,accountancy,accountancy,ә'kauntәnsi,"n. 会计工作, 会计学
[经] 会计工作, 会计学术, 会计职业",n. the occupation of maintaining and auditing records and preparing financial reports for a business,,ecdict-bc015ed2e24a,exact,draft,
cet4-w-b70f4d52f626613ef678,accountant,accountant,ә'kauntәnt,"n. 会计人员, 会计师
[经] 会计师, 会计人员",n. someone who maintains and audits business accounts,s:accountants,ecdict-bc015ed2e24a,exact,draft,
cet4-w-2a5ce4035df85fb684d5,accounting,accounting,ә'kauntiŋ,"n. 会计学, 帐单, 清帐
[计] 帐户处理, 记帐","n. a convincing explanation that reveals basic causes
n. a system that provides quantitative information about finances
n. a bookkeeper's chronological list of related debits and credits of a business; forms part of a ledger of accounts",0:account/1:i/i:accounting,ecdict-bc015ed2e24a,exact,draft,
cet4-w-b5bb411c0158c87ffbb7,accumulate,accumulate,ә'kju:mjuleit,"v. 积聚, 堆积",v. collect or gather,d:accumulated/i:accumulating/3:accumulates/p:accumulated,ecdict-bc015ed2e24a,exact,draft,
cet4-w-de298b2a0b4e2bf1363b,accumulation,accumulation,ә.kju:mju'leiʃәn,"n. 积聚, 累积, 积聚物
[医] 蓄积, 累积","n. the act of accumulating
n. (finance) profits that are not paid out as dividends but are added to the capital base of the corporation",s:accumulations,ecdict-bc015ed2e24a,exact,draft,
cet4-w-df9f11ffa31110b2f2c1,accumulative,accumulative,ә'kju:mjulәtiv,"a. 积聚而成的, 累积的
[经] 累积的, 累计的","s. increasing by successive addition
s. marked by acquiring or amassing",,ecdict-bc015ed2e24a,exact,draft,
cet4-w-01f16ae66e034320cb43,accuracy,accuracy,'ækjurәsi,"n. 精确, 正确
[计] 准确度","n. the quality of being near to the true value
n. (mathematics) the number of significant figures given in a number",s:accuracies,ecdict-bc015ed2e24a,exact,draft,
cet4-w-7a7aa95ab6907ff16ef0,accurate,accurate,'ækjurәt,"a. 正确的, 精确的
[经] 准确的, 精确的","a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct",,ecdict-bc015ed2e24a,exact,draft,
cet4-w-0272a83810fd03a3dbf0,accusation,accusation,ækju:'zeiʃәn,"n. 控告, 指控, 指责
[法] 控告, 起诉, 告发","n. a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt
n. an assertion that someone is guilty of a fault or offence",s:accusations,ecdict-bc015ed2e24a,exact,draft,
cet4-w-f5ff766854c64e6a7f21,accuse,accuse,ә'kju:z,"vt. 指责, 控告, 归咎于
vi. 指责, 控告",v. bring an accusation against; level a charge against,d:accused/p:accused/i:accusing/3:accuses,ecdict-bc015ed2e24a,exact,draft,
cet4-w-44f596d480d72894a730,accustom,accustom,ә'kʌstәm,vt. 使习惯于,v make psychologically or physically used (to something),d:accustomed/p:accustomed/3:accustoms/i:accustoming,ecdict-bc015ed2e24a,exact,draft,
cet4-w-5100359a7add5be3f74e,accustomed,accustomed,ә'kʌstәmd,"a. 惯常的, 习惯了的","a. (often followed by `to') in the habit of or adapted to
s. commonly used or practiced; usual",d:accustomed/0:accustomed/1:dp/p:accustomed,ecdict-bc015ed2e24a,exact,draft,
cet4-w-5e1e85c25cb975a5f639,ace,ace,eis,"n. 幺点, 好手, 少许, 发球得分
a. 一流的, 杰出的
[计] 应答允许, 自适应计算机试验, 自动呼叫设备, 自动执行控制","n. one of four playing cards in a deck having a single pip on its face
n. someone who is dazzlingly skilled in any field
n. a serve that the receiver is unable to reach
v. score an ace against",s:aces/i:acing/p:aced/3:aces/d:aced,ecdict-bc015ed2e24a,exact,draft,
cet4-w-c423ac00896004d5e86c,ache,ache,eik,"n. 疼痛
vi. 痛, 哀怜, 渴望","n. a dull persistent (usually moderately intense) pain
v. have a desire for something or someone who is not present
v. be the source of pain",p:ached/i:aching/d:ached/3:aches,ecdict-bc015ed2e24a,exact,draft,
cet4-w-3fdc7170836acb699c27,achieve,achieve,ә'tʃi:v,"vt. 完成, 达到
vi. 如愿以偿",v. to gain with effort,d:achieved/i:achieving/p:achieved/3:achieves,ecdict-bc015ed2e24a,exact,draft,
cet4-w-c0fd2ee8dcbbb3b36504,achievement,achievement,ә'tʃi:vmәnt,"n. 完成, 成就, 功业",n the action of accomplishing something,s:achievements,ecdict-bc015ed2e24a,exact,draft,
cet4-w-6db3ca8c9f5f7f74501f,acid,acid,'æsid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
[计] 自动文档互参与索引生成程序","n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
n. street name for lysergic acid diethylamide
s. having the characteristics of an acid",s:acids,ecdict-bc015ed2e24a,exact,draft,
cet4-w-bfffcba4cb08b4f5422e,acidity,acidity,ә'siditi,"n. 酸性
[化] 酸度; 酸性; 酸性反应","n. the taste experience when something acidic is taken into the mouth
n. pH values below 7",s:acidities,ecdict-bc015ed2e24a,exact,draft,
cet4-w-5e9f2bb803ec3bbd7f59,acknowledge,acknowledge,әk'nɒlidʒ,"vt. 承认, 告知收悉, 答谢, 报偿
[经] 承认, 答谢, 收到的通知","v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority",p:acknowledged/d:acknowledged/3:acknowledges/i:acknowledging,ecdict-bc015ed2e24a,exact,draft,
cet4-w-c2c4b9de3e51ca864c7d,acknowledgement,acknowledgement,әk'nɒlidʒmәnt,"n. 承认, 确认, 感谢, 收到的通知
[计] 确认; 肯定","n the state or quality of being recognized or acknowledged
n a statement acknowledging something or someone",s:acknowledgements,ecdict-bc015ed2e24a,exact,draft,
cet4-w-029cb66143b2c6377b03,acquaint,acquaint,ә'kweint,"vt. 使认识, 介绍",v. inform,d:acquainted/i:acquainting/p:acquainted/3:acquaints,ecdict-bc015ed2e24a,exact,draft,
cet4-w-ca462313c254fd6ecb87,acquaintance,acquaintance,ә'kweintәns,"n. 认识, 相识者","n. personal knowledge or information about someone or something
n. a relationship less intimate than friendship
n. a person with whom you are acquainted",s:acquaintances,ecdict-bc015ed2e24a,exact,draft,
cet4-w-81853f95f10e012cafad,acquire,acquire,ә'kwaiә,"vt. 获得, 学到
[电] 目标锁定","v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts",d:acquired/p:acquired/i:acquiring/3:acquires,ecdict-bc015ed2e24a,exact,draft,
cet4-w-bdb4812be6fe730050b8,acquisition,acquisition,.ækwi'ziʃәn,"n. 获得, 获得物
[经] 收购, 招揽, 取得","n. the act of contracting or assuming or acquiring possession of something
n. something acquired",s:acquisitions,ecdict-bc015ed2e24a,exact,draft,
cet4-w-71a91c5bc1d36cf51b9e,acre,acre,'eikә,n. 英亩,"n. a unit of area (4840 square yards) used in English-speaking countries
n. a territory of western Brazil bordering on Bolivia and Peru
n. a town and port in northwestern Israel in the eastern Mediterranean",s:acres,ecdict-bc015ed2e24a,exact,draft,
cet4-w-479267915f30dce80612,across,across,ә'krɒs,"prep. 越过, 穿过, 与...相交叉, 在...的对面
adv. 交叉, 到另一边, 在对面, 成十字","r. to the opposite side
r. transversely",,ecdict-bc015ed2e24a,exact,draft,
cet4-w-dcc6b6de5d3f3f80ff02,act,act,ækt,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术","n. a legal document codifying the result of deliberations of a committee or society or legislative body
n. something that people do or cause to happen
n. a subdivision of a play or opera or ballet
n. a short theatrical performance that is part of a longer program",i:acting/s:acts/p:acted/d:acted/3:acts,ecdict-bc015ed2e24a,exact,draft,
cet4-w-12952370deeb322c92b6,acting,acting,'æktiŋ,"n. 演戏, 装腔作势
a. 代理的, 演出用的, 起作用的","n. the performance of a part or role in a drama
s. serving temporarily especially as a substitute",0:act/1:i/i:acting/s:actings,ecdict-bc015ed2e24a,exact,draft,
cet4-w-b4e76965b5a7943279ac,action,action,'ækʃәn,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
[计] 方式","n. something done (usually as opposed to something said)
n. the state of being active
n. the series of events that form a plot
n. the trait of being active and energetic and forceful",s:actions/i:actioning/p:actioned/3:actions,ecdict-bc015ed2e24a,exact,draft,
cet4-w-560e8b954a1a6e8c9768,active,active,'æktiv,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子","n. a person who is a participating member of an organization
a. tending to become more severe or wider in scope
s. engaged in or ready for military or naval operations
a. disposed to take action or effectuate change",s:actives,ecdict-bc015ed2e24a,exact,draft,
cet4-w-fe4ad424f609f1c6e502,activist,activist,'æktivist,n. 激进主义分子,s. advocating or engaged in activism,s:activists,ecdict-bc015ed2e24a,exact,draft,
cet4-w-4ced4a567905ee623d9d,activity,activity,æk'tiviti,"n. 活动, 行动, 活跃, 活力
[计] 活动","n. any specific behavior
n. (chemistry) the capacity of a substance to take part in a chemical reaction",s:activities,ecdict-bc015ed2e24a,exact,draft,
cet4-w-45384c5a5727e65aeb71,actor,actor,'æktә,"n. 男演员, 行动者
[医] 作用物, 反应物","n. a theatrical performer
n. a person who acts and gets things done",s:actors,ecdict-bc015ed2e24a,exact,draft,
cet4-w-996e8063308235c5ef59,actress,actress,'æktris,n. 女演员,n. a female actor,s:actresses,ecdict-bc015ed2e24a,exact,draft,
cet4-w-1585d72748c764fdc715,actual,actual,'æktʃuәl,"a. 真实的, 实际的, 现行的
[医] 实际死亡率","a. presently existing in fact and not merely potential or possible
s. taking place in reality; not pretended or imitated
s. being or reflecting the essential or genuine character of something
s. existing in act or fact",s:actuals,ecdict-bc015ed2e24a,exact,draft,
cet4-w-35933c866d479febfd5d,actually,actually,'æktʃuәli,"adv. 事实上, 竟然, 如今, 现在","r. in actual fact
r. used to imply that one would expect the fact to be the opposite of that stated; surprisingly
r. at the present moment
r. as a sentence modifier to add slight emphasis",,ecdict-bc015ed2e24a,exact,draft,
cet4-w-3d98e5db5ab2fed7b3a1,acute,acute,ә'kju:t,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
[医] 急性的; 尖锐的","a. having or experiencing a rapid onset and short but severe course
s. extremely sharp or intense
s. having or demonstrating ability to recognize or draw fine distinctions
a. of an angle; less than 90 degrees",s:acutes/t:acutest,ecdict-bc015ed2e24a,exact,draft,
cet4-w-e7cddeac5a76bef5c4f9,ad,ad,æd,"n. 广告
[计] 地址, 模拟-数字","n. a public promotion of some product or service
r. in the Christian era; used before dates after the supposed year Christ was born",s:ads,ecdict-bc015ed2e24a,exact,draft,
cet4-w-ce5ce25d8f0e7194cc10,adapt,adapt,ә'dæpt,"vt. 使适应, 改编
vi. 适应","v. make fit for, or change to suit a new purpose",d:adapted/i:adapting/p:adapted/3:adapts,ecdict-bc015ed2e24a,exact,draft,
cet4-w-9ee5467ce2af9057e724,adaptation,adaptation,.ædæp'teiʃәn,"n. 适应, 改编, 改编本
[医] 适应[作用]","n. a written work (as a novel) that has been recast in a new form
n. the process of adapting to something (such as environmental conditions)
n. (physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)",s:adaptations,ecdict-bc015ed2e24a,exact,draft,
cet4-w-39fd41b2a3a0a3778170,adaptive,adaptive,ә'dæptiv,"a. 适应的, 能适应的",a. having a capacity for adaptation,,ecdict-bc015ed2e24a,exact,draft,
cet4-w-9103ec43533f3656675e,add,add,æd,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
[计] 加法","v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of
v. state or say further
v. make an addition by combining numbers
v. constitute an addition",p:added/d:added/i:adding/3:adds,ecdict-bc015ed2e24a,exact,draft,
cet4-w-827192b236adae6222d6,addict,addict,ә'dikt,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者","n. someone who is so ardently devoted to something that it resembles an addiction
n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)",d:addicted/s:addicts/i:addicting/p:addicted/3:addicts,ecdict-bc015ed2e24a,exact,draft,
cet4-w-375e71f085b055138a30,addiction,addiction,ә'dikʃәn,"n. 入迷, 瘾
[医] 瘾, 癖嗜","n. being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
n. an abnormally strong craving
n. (Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master",s:addictions,ecdict-bc015ed2e24a,exact,draft,
cet4-w-445db3c0e8ea30789839,addictive,addictive,ә'diktiv,a. 上瘾的,a. causing or characterized by addiction,,ecdict-bc015ed2e24a,exact,draft,
cet4-w-1f43ac46516340a2c567,addition,addition,ә'diʃәn,"n. 加法, 增加的人(或物)
[计] 加法","n. a component that is added to something to improve it
n. the act of adding one thing to another
n. a quantity that is added
n. a suburban area laid out in streets and lots for a future residential area",s:additions,ecdict-bc015ed2e24a,exact,draft,
cet4-w-402de9743b898c93a5a7,additional,additional,ә'diʃәnәl,"a. 附加的, 另外的, 额外的
[机] 加添的, 附加的",s further or added,,ecdict-bc015ed2e24a,exact,draft,
cet4-w-4ad740efa6ce91ebdc49,address,address,ә'dres,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址","n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual",d:addressed/i:addressing/s:addresses/p:addressed/3:addresses,ecdict-bc015ed2e24a,exact,draft,
