spelling	targetSurface	parts	translation	analysis
accessible	accessible	adv::By providing captions and written summaries, ||subj::the team||pred:: made the lectures accessible to people who found the recordings difficult to follow.	团队提供字幕和文字摘要，使难以跟上录音内容的人也能理解这些讲座。	By 后接动名词说明手段；made the lectures accessible 是使役结构，accessible 作宾语补足语。who 从句修饰 people。
accident	accident	adv::After the accident, ||subj::engineers||pred:: examined the crossing to find out why drivers had failed to see approaching trains.	事故发生后，工程师检查了道口，查明司机为何未能看见驶近的火车。	主干是 engineers examined the crossing；to find out 表目的，why 从句是 find out 的宾语。had failed 表事故前已经发生的失误。
accidental	accidental	adv::Although the discovery was accidental, ||subj::the scientist||pred:: recognised its importance because she had spent years studying similar materials.	虽然发现纯属偶然，这位科学家仍识别出了它的重要性，因为她多年一直在研究类似材料。	Although 和 because 分别给出让步与原因；主干是 the scientist recognised its importance。accidental 描述发现的方式，不否定研究积累。
accommodate	accommodate	adv::When the number of applicants doubled, ||subj::the organisers||pred:: moved the event to a hall that could accommodate everyone comfortably.	申请人数翻倍后，组织者把活动移到了一间能让所有人舒适入座的礼堂。	主干是 the organisers moved the event；that 从句修饰 hall。accommodate 的宾语 everyone 表明这里是容纳人的意思。
accommodation	accommodation	adv::Because affordable accommodation was difficult to find, ||subj::many students||pred:: chose to live farther from the campus than they had originally planned.	由于难以找到价格可承受的住处，许多学生选择住得比原先计划离校园更远。	主干是 many students chose to live；farther ... than 作距离比较。accommodation 在这里作不可数名词，表示住宿。
accompany	accompany	adv::Since her father could not travel alone, ||subj::she||pred:: arranged for a relative to accompany him to the appointment.	因为父亲无法独自出行，她安排了一位亲属陪他去赴约。	Since 表原因；arranged for a relative to accompany 是安排某人做某事。him 指 father，accompany 直接接 him，不添 with。
accomplish	accomplish	adv::Although each volunteer had only an hour to spare, ||subj::the group||pred:: managed to accomplish work that would have taken one person several days.	虽然每名志愿者只能抽出一小时，大家仍设法完成了一个人要花好几天才能完成的工作。	主干是 the group managed to accomplish work。that 从句修饰 work；would have taken 表达假设由一个人完成时所需的时间。
accomplishment	accomplishment	adv::For students who had never spoken in public before, ||subj::finishing the presentation||pred:: was an accomplishment worth celebrating.	对从未公开演讲过的学生来说，完成这次展示是一项值得庆祝的成就。	主语是动名词短语 finishing the presentation。who 从句修饰 students；worth celebrating 后置说明 accomplishment 值得庆祝。
accord	accord	adv::Although the two organisations had different priorities, ||subj::they||pred:: reached an accord on how the shared space should be used.	尽管两个组织的优先事项不同，它们仍就如何使用公共空间达成了协议。	主干是 they reached an accord；on 后的 how 从句给出协议内容，内部 should be used 是被动语态。
accordance	accordance	adv::In accordance with the policy announced last month, ||subj::all applications||pred:: must be assessed by at least two independent reviewers.	按照上个月公布的政策，所有申请必须由至少两名独立评审者评估。	announced last month 是过去分词短语，修饰 policy；主干是 all applications must be assessed。in accordance with 引出遵循的规定。
accordingly	accordingly	adv::When the survey showed that most users preferred a simpler design, ||subj::the developers||pred:: adjusted the interface accordingly rather than adding more features.	调查显示多数用户更喜欢简洁设计后，开发人员相应调整了界面，没有继续增加功能。	When 从句内含 showed 的 that 宾语从句；accordingly 指依据调查结果作出调整。rather than adding 表示舍弃的做法。
account	account	adv::Although the witness gave a detailed account of the event, ||subj::the investigators||pred:: still needed evidence that could confirm the sequence of actions.	尽管目击者详细叙述了事件，调查人员仍需要能够证实动作先后顺序的证据。	account of the event 表事件叙述；主干是 investigators still needed evidence。that 从句修饰 evidence，说明需要什么样的证据。
accountability	accountability	adv::If decisions are made without a written record, ||subj::it||pred:: becomes harder to maintain accountability when something goes wrong.	如果作出决定时没有书面记录，一旦出问题，就更难落实责任。	it 是形式主语，真正主语是 to maintain accountability。If 从句给出条件，when 从句说明追责会发生的情境。
accountable	accountable	adv::Although the project involves several departments, ||subj::one manager||pred:: remains accountable for ensuring that the work is completed on time.	虽然项目涉及几个部门，仍有一名经理须负责确保工作按时完成。	主干是 one manager remains accountable；for 后接 ensuring，that 从句又是 ensuring 的宾语。责任涉及确保完成，而非声称已完成。
accountancy	accountancy	adv::After completing a degree in accountancy, ||subj::she||pred:: joined a small firm where she could learn how businesses actually operated.	完成会计学学位后，她加入了一家小公司，在那里了解企业实际如何运作。	After 后接动名词，动作主体与 she 一致；where 从句修饰 firm。how 从句是 learn 的宾语，说明学到的内容。
accountant	accountant	adv::Before the annual report was released, ||subj::the accountant||pred:: checked whether every payment could be traced to an original receipt.	年度报告发布前，会计检查了每笔付款能否追溯到原始收据。	whether 从句是 checked 的宾语；could be traced to 表能够追溯到。accountant 是核账的人，不是账目本身。
accounting	accounting	adv::Because the charity depended on public donations, ||subj::its accounting records||pred:: were made available to anyone who wanted to see how the money was used.	由于该慈善机构依靠公众捐款，其会计记录向所有想了解款项用途的人开放。	主干是 its accounting records were made available，available 补充说明记录被置于何种状态。who 从句修饰 anyone，内部 how 从句作 see 的宾语。
accumulate	accumulate	adv::If small repair jobs are repeatedly postponed, ||subj::problems||pred:: can accumulate until the entire system becomes expensive to maintain.	如果小修小补一再推迟，问题就会越积越多，直到整个系统的维护费用变得高昂。	If 从句是被动语态；主句 problems can accumulate 中 accumulate 不接宾语。until 从句说明积累最终达到的状态。
accumulation	accumulation	adv::After weeks of heavy snow, ||subj::an accumulation of ice on the roof||pred:: forced the school to close until engineers could inspect the building.	数周大雪之后，屋顶积冰迫使学校关闭，等待工程师检查建筑。	完整主语是 an accumulation of ice on the roof，核心名词 accumulation 为单数。forced the school to close 表示导致学校关闭。
accumulative	accumulative	adv::Although each individual delay seemed minor, ||subj::the accumulative effect of repeated interruptions||pred:: prevented the team from finishing the task that day.	虽然每次耽搁看起来都不严重，反复中断的累积影响却使团队当天无法完成任务。	主语核心是 effect；of repeated interruptions 补充影响的来源。prevented the team from finishing 是阻止某人做某事的结构。
accuracy	accuracy	adv::Before relying on the information, ||subj::readers||pred:: should consider how its accuracy was checked and whether the method is explained.	依赖这些信息之前，读者应考虑准确性经过了怎样的核查，以及核查方法是否说明。	consider 后并列两个宾语从句，由 how 和 whether 引导。its 指 information；accuracy 是被核查的性质。
accurate	accurate	adv::Even if a prediction is accurate on average, ||subj::it||pred:: may still be unreliable for people whose circumstances differ from those in the data.	即使某项预测总体上准确，它对那些情况与数据所代表的人不同的人来说仍可能不可靠。	Even if 引出让步条件；whose circumstances 表示这些人的情况。those 指代前面的 circumstances，避免重复。
accusation	accusation	adv::When the accusation became public, ||subj::the organisation||pred:: released the documents that it said would clarify what had happened.	指控公开后，该组织公布了据其称能够说明事件经过的文件。	主干是 the organisation released the documents。that 引导定语从句，it said 是嵌入其中的转述，what had happened 表所发生的事情。
accuse	accused	adv::Although residents accused the factory of polluting the river, ||subj::the council||pred:: waited for the test results before deciding what action to take.	虽然居民指责工厂污染河流，地方议会仍等待检测结果，再决定采取什么措施。	accused the factory of polluting 展示 accuse sb. of doing。what action to take 是疑问词加不定式，作 deciding 的宾语。
accustom	accustom	adv::To accustom herself to the new timetable, ||subj::she||pred:: began waking up earlier a week before the course started.	为了让自己适应新的时间安排，她在课程开始前一周就开始早起。	句首不定式表示目的；herself 与主语 she 指同一人。before 从句修饰时间，accustom oneself to 后接名词短语 timetable。
accustomed	accustomed	adv::Although he was accustomed to working alone, ||subj::he||pred:: soon discovered that discussing early ideas with others could save time.	尽管他习惯独自工作，他很快发现，及早与他人讨论想法能节约时间。	accustomed to 后的 to 是介词，故接 working。discovered 的 that 从句中，主语是 discussing early ideas with others 这一动名词短语。
ace	ace	adv::When the match reached its final point, ||subj::the young player||pred:: served an ace that left her opponent with no chance to return the ball.	比赛来到最后一分时，这位年轻选手发出一记直接得分球，让对手毫无回球机会。	主干是 the young player served an ace；that 从句修饰 ace。to return the ball 修饰 chance，说明是哪种机会。
ache	ached	adv::Although her legs ached after the climb, ||subj::she||pred:: felt that the view from the summit had made the effort worthwhile.	尽管爬山后双腿酸痛，她仍觉得山顶的风景让这番努力很值得。	主句 felt 后接 that 宾语从句；从句中 made the effort worthwhile 是宾语加补足语结构。ached 是 ache 的过去式。
achieve	achieve	adv::If the city is to achieve its goal of cleaner air, ||subj::it||pred:: will need to improve public transport as well as limit traffic.	如果这座城市要实现空气更清洁的目标，就需要在限制交通的同时改善公共交通。	is to achieve 表示要实现；主句 need 后接 to improve。as well as limit traffic 与 improve public transport 并列，说明两方面措施。
achievement	achievement	adv::Although winning the prize was a remarkable achievement, ||subj::she||pred:: valued the friendships that had developed during the project even more.	虽然获奖是一项非凡成就，她更珍视项目期间建立的友谊。	Although 从句以 winning the prize 作主语；主句是 she valued the friendships。that 从句修饰 friendships，even more 表示更加重视。
acid	acid	adv::Before the acid was added to the sample, ||subj::the students||pred:: put on the protective equipment their teacher had provided.	把酸加入样品之前，学生穿戴好了教师提供的防护用品。	Before 从句使用被动语态；主干是 students put on the protective equipment。their teacher had provided 修饰 equipment，省略了关系代词。
acidity	acidity	adv::Because the acidity of the soil varied across the field, ||subj::the researchers||pred:: collected samples from several locations rather than relying on a single measurement.	由于田间各处土壤酸度不同，研究人员从多个地点采样，没有只依赖一次测量。	Because 从句主语核心是 acidity；主干是 researchers collected samples。rather than 后的 relying 与前述采样方法作对照。
acknowledge	acknowledge	adv::Although the company was slow to acknowledge the problem, ||subj::it||pred:: eventually published an explanation of how the error had occurred.	虽然公司迟迟没有承认问题，它最终还是公布了错误发生经过的说明。	be slow to do 表示迟迟才做；主句 it 指 company。how 从句接在 explanation of 后，说明解释内容。
acknowledgement	acknowledgement	adv::After sending the application, ||subj::she||pred:: waited for an acknowledgement confirming that the documents had reached the correct office.	寄出申请后，她等待回执，以确认文件已送达正确的办公室。	confirming 是现在分词，修饰 acknowledgement；that 从句是 confirming 的宾语。acknowledgement 在这里指确认收到的通知。
acquaint	acquaint	adv::Before volunteers began their first shift, ||subj::the coordinator||pred:: held a short meeting to acquaint them with the centre's procedures.	志愿者开始第一次轮班前，协调员开了一个短会，让他们了解中心的办事流程。	主干是 coordinator held a short meeting；to acquaint 表目的，them 指 volunteers。acquaint sb. with 是使某人熟悉某事。
acquaintance	acquaintance	adv::Through an acquaintance who worked at the museum, ||subj::we||pred:: learned about a collection that was rarely shown to the public.	通过一位在博物馆工作的熟人，我们了解到一批很少对公众展出的藏品。	句首 Through 短语说明获知渠道，其中 who 修饰 acquaintance。that 从句修饰 collection，was shown 为被动语态。
acquire	acquire	adv::When learners have opportunities to use the language outside class, ||subj::they||pred:: often acquire expressions that are difficult to remember from a list alone.	学习者有机会在课外使用语言时，常能学会一些仅靠词表很难记住的表达。	主干是 they often acquire expressions；that 从句修饰 expressions，to remember 的逻辑宾语也是 expressions。acquire 在这里指习得。
acquisition	acquisition	adv::Although vocabulary acquisition takes time, ||subj::regular contact with useful expressions||pred:: can make new words easier to recognise when they appear again.	虽然词汇习得需要时间，经常接触有用的表达会让新词再次出现时更容易认出。	主句的主语是 regular contact，with 短语补充接触对象。make new words easier to recognise 是使宾语处于某种状态的结构。
acre	acres	adv::When the farm expanded by twenty acres, ||subj::the owners||pred:: set aside part of the new land for trees that would shelter the crops from strong winds.	农场扩大二十英亩后，主人留出部分新增土地种树，以保护作物免受强风侵袭。	by twenty acres 表增加的面积；set aside 表留出。that 从句修饰 trees，shelter ... from 表保护……免受……。
across	across	adv::Although a footbridge had been built across the river, ||subj::many residents||pred:: continued using the old road because it was closer to their homes.	虽然河上已建起一座人行桥，许多居民仍走旧路，因为那条路离家更近。	had been built 是过去完成时的被动语态。across 表横跨河流；because 从句中 it 指 old road，不指 bridge。
acting	acting	adv::While the director was recovering from an operation, ||subj::the acting manager||pred:: made sure that the project continued according to the agreed schedule.	主任术后恢复期间，代理经理确保项目继续按商定的计划推进。	While 从句给出一段时间；acting 修饰 manager，表示代理职务。made sure 后接 that 从句，其中 according to 表按照。
activist	activist	adv::Although she had never considered herself an activist, ||subj::she||pred:: began organising meetings after the local library was threatened with closure.	虽然她从未把自己看作活动人士，当本地图书馆面临关闭时，她开始组织集会。	considered herself an activist 是宾语加补足语结构；after 从句说明行动的触发事件。be threatened with closure 指面临关闭风险。
actress	actress	adv::After the actress read the letters on which the play was based, ||subj::she||pred:: changed the way she portrayed the main character.	读完这部戏所依据的书信后，这位女演员改变了塑造主角的方式。	on which 引导定语从句，介词来自 be based on。主干是 she changed the way；she portrayed ... 说明怎样塑造角色。
actual	actual	adv::Although the estimate seemed reasonable, ||subj::the actual cost of repairing the roof||pred:: was much higher because hidden damage was discovered.	虽然估价看起来合理，维修屋顶的实际费用却高得多，因为发现了隐藏的损坏。	主语核心是 cost，of repairing the roof 说明什么费用。actual 与 estimate 形成实际和估计的对照；because 解释超支原因。
actually	actually	adv::When the team looked closely at how people actually used the app, ||subj::they||pred:: found that a feature they had considered essential was rarely opened.	团队仔细研究人们实际如何使用这个应用后，发现一项原本被他们视为必需的功能很少有人打开。	When 从句含 how 宾语从句；主句 found 后的 that 从句中，they had considered essential 修饰 feature。actually 强调实际使用情况。
acute	acute	adv::Because the village faced an acute shortage of teachers, ||subj::some children||pred:: had to travel to a school that was more than an hour away.	由于村子严重缺乏教师，一些孩子不得不去一所路程超过一小时的学校上学。	acute 修饰 shortage，表示程度严重。主干是 some children had to travel；that 从句修饰 school，说明距离造成的困难。
ad	ad	adv::Before responding to an ad that promises unusually high pay, ||subj::applicants||pred:: should check whether the employer can be independently verified.	回应承诺异常高薪的广告之前，申请人应核实雇主是否可通过独立渠道确认。	that 从句修饰 ad；Before 后的 responding 与主语 applicants 对应。whether 从句是 check 的宾语，can be verified 为被动语态。
adapt	adapt	adv::Although the equipment was designed for indoor use, ||subj::the team||pred:: managed to adapt it to the conditions they encountered outdoors.	虽然设备原本为室内使用而设计，团队仍设法使它适应了室外遇到的条件。	主干是 the team managed to adapt it；it 指 equipment。they encountered outdoors 修饰 conditions，adapt ... to 表使……适应……。
adaptation	adaptation	adv::While the novel tells the story through private letters, ||subj::the film adaptation||pred:: relies on conversations that reveal the characters' thoughts indirectly.	小说通过私人书信讲述故事，电影改编版则依靠对话间接展现人物的想法。	While 表示表现方式的对照；主干是 film adaptation relies on conversations。that 从句修饰 conversations，说明对话起的作用。
adaptive	adaptive	adv::Because the system uses adaptive controls, ||subj::it||pred:: can respond to changing conditions without requiring an operator to reset every value.	由于系统采用自适应控制，它能应对变化的条件，无须操作人员重新设定每个数值。	主干是 it can respond；without 后接 requiring，requiring 又接 an operator to reset。adaptive 描述控制能够随条件改变。
add	add	adv::If the soup tastes too salty, ||subj::you||pred:: can add more water before deciding whether it needs any further seasoning.	如果汤尝起来太咸，你可以先多加点水，再决定是否需要继续调味。	If 从句中 tastes 是系动词；before 后接 deciding，whether 从句是 deciding 的宾语。add 的宾语是 more water。
addict	addict	adv::Although he called himself a coffee addict as a joke, ||subj::he||pred:: began to wonder whether the habit was affecting his sleep.	虽然他只是开玩笑地自称咖啡迷，他开始怀疑这个习惯是否影响了睡眠。	called himself a coffee addict 为宾语加补足语；whether 从句作 wonder 的宾语。as a joke 限定了 addict 在这里的轻松语气。
addiction	addiction	adv::When support for addiction is difficult to obtain, ||subj::people who want help||pred:: may struggle to find a service they can afford.	难以获得成瘾问题的支持服务时，想求助的人可能很难找到负担得起的服务。	主语是 people，who want help 修饰它；they can afford 是省略关系代词的定语从句，修饰 service。addiction 是服务针对的问题。
addictive	addictive	adv::Although the app was marketed as a way to relax, ||subj::some users||pred:: found its endless stream of short videos so addictive that they spent hours watching.	虽然这个应用被宣传为放松工具，一些用户却觉得接连不断的短视频如此让人停不下来，以至于一看就是几个小时。	主句 found 后接宾语 stream 和补足语 addictive。so ... that 表示程度及结果；watching 接在 spent hours 后说明时间用途。
addition	addition	adv::In addition to providing free meals, ||subj::the centre||pred:: offers a quiet space where people can get advice about housing.	除了提供免费餐食，这个中心还提供一处安静空间，供人们咨询住房问题。	In addition to 后接 providing，to 为介词；where 从句修饰 space。句子并列说明中心的两项服务。
additional	additional	adv::Because the initial results were uncertain, ||subj::the researchers||pred:: collected additional samples before deciding whether the pattern was meaningful.	初步结果不确定，因此研究人员又采集了一些样本，再判断观察到的规律是否有意义。	additional 修饰 samples，表示在已有样本之外增加。whether 从句是 deciding 的宾语；before 说明采样先于判断。
address	address	adv::Unless the policy can address the reasons people avoid public transport, ||subj::a reduction in ticket prices alone||pred:: may have little effect.	如果政策无法处理人们不愿乘坐公共交通的原因，仅降低票价可能收效甚微。	Unless 从句中的 people avoid public transport 修饰 reasons，省略 why。主语核心是 reduction；address 表处理问题，未承诺已经解决。
adequacy	adequacy	adv::After the number of visitors rose sharply, ||subj::the council||pred:: reviewed the adequacy of facilities that had been designed for a much smaller population.	游客人数大幅增加后，地方议会审查了原本按小得多的人口规模设计的设施是否够用。	主干是 council reviewed the adequacy；of facilities 说明核查对象。that 从句修饰 facilities，had been designed 表更早设计的状态。
adequate	adequate	adv::Although the room was small, ||subj::it||pred:: provided adequate space for students who needed a quiet place to work.	虽然房间不大，它仍为需要安静学习地点的学生提供了足够空间。	Although 说明小并未妨碍够用；who 从句修饰 students。adequate 只承诺空间满足需要，不表示空间宽敞。
adequately	adequately	adv::If workers are not adequately trained before the system is introduced, ||subj::they||pred:: may make mistakes that better preparation could have prevented.	如果系统启用之前工作人员未得到充分培训，他们可能会犯下一些本可通过更充分准备避免的错误。	adequately 修饰 trained；If 从句内还有 before 时间从句。that 从句修饰 mistakes，could have prevented 表示原本能够避免。
adjective	adjective	adv::When an adjective appears after a linking verb, ||subj::it||pred:: still describes the subject even though it does not stand directly before a noun.	形容词出现在系动词之后时，虽然它没有直接位于名词前，仍然是在描述主语。	it 指 adjective；even though 引出位置上的让步情况。after a linking verb 说明形容词作表语的常见位置。
adjust	adjust	adv::As the light outside changed, ||subj::the photographer||pred:: had to adjust the camera settings to keep the pictures clear.	随着外界光线变化，摄影师不得不调整相机设置，以保持照片清晰。	As 表示随条件变化；主干是 photographer had to adjust settings。to keep 表目的，keep the pictures clear 中 clear 为补足语。
adjustment	adjustment	adv::Although the machine appeared to be broken, ||subj::a small adjustment to the belt||pred:: was enough to get it working again.	虽然机器看起来坏了，对皮带稍作调整就足以让它重新运转。	主语核心是 adjustment，to the belt 说明调整对象。get it working 中 working 是宾语补足语，表示进入运转状态。
administer	administer	adv::Before volunteers were allowed to administer the test, ||subj::they||pred:: received training on how to give instructions without influencing the answers.	志愿者获准实施测试之前，接受了如何说明要求而不影响答案的培训。	were allowed to administer 是被允许做某事；on 后接 how to give 结构，说明培训内容。administer the test 在这里指组织施测。
administrate	administrate	adv::Because several colleges shared the funding, ||subj::a central office||pred:: was created to administrate the scheme and keep the selection process consistent.	因为几个学院共同使用这笔资金，学校设立了一个中央办公室，负责管理计划并保持选拔流程一致。	主干是 a central office was created；to administrate 与 keep 并列说明设立目的。本句保留较少用的考纲词 administrate。
administration	administration	adv::Although most students rarely meet the people working in administration, ||subj::their daily routines||pred:: depend on decisions made in those offices.	虽然大多数学生很少见到行政部门的工作人员，他们每天的安排却依赖这些办公室作出的决定。	working in administration 修饰 people；made in those offices 修饰 decisions。their 指 students，administration 指行政管理部门。
administrative	administrative	adv::By reducing the number of forms that teachers must complete, ||subj::the school||pred:: hopes to cut administrative work without losing useful information.	学校希望减少教师必须填写的表格数量，在保留有用信息的同时减轻行政工作。	By 短语说明手段，that 从句修饰 forms；主句 hopes to cut。without losing 说明希望同时满足的限制条件。
admirable	admirable	adv::Although the attempt did not succeed, ||subj::the team's willingness to share what it had learned||pred:: was admirable.	虽然尝试没有成功，团队愿意分享所学所得的态度仍值得钦佩。	主语核心是 willingness，to share 修饰它；what it had learned 作 share 的宾语。admirable 作表语，评价的是愿意分享的态度。
