spelling	pronunciation	definitionCn	memoryMarkup	example	translation	collocation	collocationMeaning	note
academy	/əˈkædəmi/	n. 专门学校；学院；学会。	艺术生背着画板走进 art academy，画院。先记这扇教专业本领的校门，再认识科学院等名称里的 Academy，同一个词也能指学术机构。	He teaches at a local music academy.	他在当地一所音乐学校任教。	a military academy	军事院校	机构名中的 academy 与 university 不宜一律互换。
accelerate	/əkˈseləreɪt/	v. 加速；促进。	汽车驶入快车道，脚下一踩，速度表往上走。accelerate 就记这一下加速；事情推进得更快，也能说 accelerate progress。	The train began to accelerate as it left the station.	火车驶离车站时开始加速。	accelerate growth	加快增长	既可及物，也可不及物；注意与速度本身 speed 的区别。
acceleration	/əkˌseləˈreɪʃən/	n. 加速；加速度。	速度表从二十往四十走，是 accelerate；讨论它每秒变快多少，就到了 acceleration。把“速度正在变化”记牢，别只盯住某一刻有多快。	The passengers noticed the car's sudden acceleration.	乘客注意到了汽车突然加速。	rapid acceleration	快速加速	日常义是加速，物理义是加速度，包含速度大小或方向的变化。
accent	/ˈæksənt/	n. 口音；重音。v. 强调。	电话里还没报姓名，你听第一句话就认出了老乡。那种一开口就露出的家乡味，就是 accent。读单词时突出的那个音节，则是重音。	Her accent reminded me of my hometown.	她的口音让我想起了家乡。	a regional accent	地方口音	口音是发音特点，不等同于包含词汇、语法差异的 dialect。
accept	/əkˈsept/	v. 接受；认可；同意。	别人递来邀请函，你接过来点点头，说自己会去。这个带着同意的“收下”，就是 accept；邮件进了收件箱，只能先说 receive。	She accepted the invitation with a smile.	她微笑着接受了邀请。	accept an offer	接受提议或录用	accept 强调愿意接受；receive 强调收到，两者不总能互换。
acceptable	/əkˈseptəbəl/	adj. 可以接受的；令人满意的。	宿舍换房，离食堂远了点，屋里却安静不少。你想了想说“这个可以”，条件是 acceptable。accept 后面的 -able 提醒你能接受。	A short delay would be acceptable to most passengers.	大多数乘客可以接受短暂延误。	an acceptable solution	可接受的解决办法	常用 acceptable to sb. 表示某人可以接受。
acceptance	/əkˈseptəns/	n. 接受；认可；接纳。	发出申请后等了很久，终于收到一封信，说你被录取了。accept 是接受你，acceptance letter 就是那封确认接纳你的信。	The proposal gained wide acceptance.	这项提议获得了广泛认可。	widespread acceptance	广泛认可	常用 gain acceptance 或 win acceptance 表示逐渐获得认可。
access	/ˈækses/	n. 进入；通道；使用或接触的机会、权利。v. 访问；获取。	门禁卡一刷，锁开了；账号一登录，资料也打开了。把 access 记成“进得去、用得上”，实体的门和网上的权限都能串起来。	Students can access the materials from home.	学生可以在家访问这些材料。	have access to	能够使用或接触	名词后常用 to；动词可直接接宾语，access the files。
accessible	/əkˈsesəbəl/	adj. 可进入的；可使用的；易懂的；易接近的。	图书馆装上坡道，轮椅能进去；课程讲得清楚，新手也听得懂。一个是人进得去，一个是意思接得住，都可以用 accessible。	The report is accessible to readers without technical training.	没有技术背景的读者也能读懂这份报告。	accessible to everyone	人人可用或可理解的	不只表示地理位置方便；也常说 accessible language。
accident	/ˈæksɪdənt/	n. 事故；意外。	下雨天手一滑，杯子啪地落地。谁也没打算摔它，偏偏发生了，这一下就是 an accident。by accident 则把“没打算”说成偶然。	The road was closed after the accident.	事故发生后，道路被封闭了。	by accident	偶然；意外地	by accident 常与 on purpose 故意相对。
accidental	/ˌæksɪˈdentəl/	adj. 意外的；偶然的。	给朋友发照片，手指点错，发进了班级群。accident 是这场小意外，accidental 描写这次误发，强调它无意发生。	The investigation found that the damage was accidental.	调查发现，这次损坏是意外造成的。	an accidental discovery	偶然的发现	accidentally 是副词，注意末尾保留 -ally。
accommodate	/əˈkɒmədeɪt/	v. 容纳；为……提供住宿；适应、顾及。	订房时盯住两对字母 cc 和 mm，想成两对客人，每对都得有地方住。酒店把人安排得下，就是 accommodate。双 c、双 m 也顺手记住。	The hall can accommodate two hundred people.	这个礼堂可以容纳二百人。	accommodate different needs	顾及不同需求	两对字母是拼写助记；不要由此虚构词根或词缀。
accommodation	/əˌkɒməˈdeɪʃən/	n. 住处；住宿；调节、适应。	订行程时，机票搞定了，还得找晚上睡哪儿。accommodate 是安排人住下，accommodation 就是要落实的住处。双 c、双 m 仍然都在。	The university offers accommodation near the campus.	大学提供校园附近的住宿。	student accommodation	学生住宿	英式英语中住宿义通常不可数；不机械写成 an accommodation。
accompany	/əˈkʌmpəni/	v. 陪伴；伴随；为……伴奏。	一个人排队等检查有点紧张，朋友搬把椅子坐到旁边，给你作伴。看见 accompany 中的 company，联系“陪伴”这一义，就能记住有人跟着一起。	My sister accompanied me to the station.	姐姐陪我去了车站。	accompany sb. to	陪某人到某处	accompany 直接接人，不写 accompany with sb.。
accomplish	/əˈkʌmplɪʃ/	v. 完成；实现。	待办清单最后一格终于打上勾，电脑合上，可以回家了。把 accomplish 放在这个收工时刻，记完成一件事、达成一个目标。	We accomplished more than we expected this week.	这周我们完成的事情比预期更多。	accomplish a task	完成任务	强调成功完成，通常不直接接不定式表示“成功做某事”。
accomplishment	/əˈkʌmplɪʃmənt/	n. 成就；完成；才艺。	第一次独自跑完五公里，你把路线截图保存下来。accomplish 是跑完，accomplishment 是这件值得记下来的成果。	Finishing the project gave her a sense of accomplishment.	完成项目让她感到很有成就感。	a sense of accomplishment	成就感	可数时指一项成就；完成这一行为本身也可用不可数形式。
accord	/əˈkɔːd/	n. 协议；一致。v. 给予；符合。	合唱时大家终于唱到同一个调上，用“合得来”记 accord。谈判桌上意见对齐，签下来的正式协议也叫 accord。	The two sides reached an accord after weeks of discussion.	经过数周讨论，双方达成了协议。	in accord with	与……一致	of one's own accord 表示自愿、主动。
accordance	/əˈkɔːdəns/	n. 一致；符合。	拿着装配说明，一步一步照着做，最后每个零件都对得上。in accordance with the instructions 就是按照说明。把 accordance 连同这个短语一起记。	The results were published in accordance with the rules.	结果按规定予以公布。	in accordance with	按照；依照	这个名词主要用于 in accordance with，不必硬造独立口语句。
accordingly	/əˈkɔːdɪŋli/	adv. 相应地；因此。	群里说集合提前半小时，你也把闹钟往前调半小时。前面的情况一变，后面跟着调，adjust accordingly 就是相应调整。	The weather may change, so pack accordingly.	天气可能变化，请据此准备行李。	adjust accordingly	作出相应调整	可指相应地调整，也可在较正式语境中连接因果。
account	/əˈkaʊnt/	n. 账户；账目；叙述。v. 解释；占。	先想手机里的银行 account，钱从哪里来、往哪里去都记着。账要交代清楚，一件事的经过也要交代清楚，于是 account 还能表示叙述、说明。	She gave a clear account of what had happened.	她清楚地讲述了事情的经过。	account for	解释；占……比例	account for 有不同义项，要看宾语是原因、现象还是比例。
accountability	/əˌkaʊntəˈbɪləti/	n. 责任；问责；可追责性。	钱花出去了，每一笔都得说清谁批的、花在哪。accountable 是人要负责，accountability 是这套“做过就得交代”的责任要求。	The policy aims to improve public accountability.	这项政策旨在加强公共事务中的问责。	ensure accountability	确保责任可追究	不要只译成一般能力；核心是须对决定或行为负责。
accountable	/əˈkaʊntəbəl/	adj. 负有责任的；须作出解释的。	报账时不能只说“钱没了”，经手的人得把账 account 交代出来。记 accountable，就记那个需要站出来说明情况、承担责任的人。	Managers are accountable for how the money is spent.	管理者须对资金的使用负责。	be accountable for	对……负责	accountable to 后接向谁负责，accountable for 后接负责的事。
accountancy	/əˈkaʊntənsi/	n. 会计工作；会计学。	账本 account 摊开，流水要记，账也得核清。研究这些规程是一门专业，干这一行是职业，都可以用 accountancy。	She plans to pursue a career in accountancy.	她打算从事会计工作。	study accountancy	学习会计	多见于英式用法；accounting 也可表示会计工作或会计学。
accountant	/əˈkaʊntənt/	n. 会计；会计师。	月底，别人都准备下班了，还有人对着 account 账目一笔笔核数。accountant 就是处理这些账的人，词尾 -ant 把身份接出来。	The accountant checked every receipt before closing the books.	结账之前，会计核对了每一张收据。	a qualified accountant	有资质的会计师	与 account 和 accounting 连记，别把职业译成银行柜员。
accounting	/əˈkaʊntɪŋ/	n. 会计；会计核算。	报销单进来，账目记上，月底再对一遍。看这一整套围着 account 转的工作，记 accounting。办公室门牌 Accounting Department 就是会计部门。	The course introduces basic accounting principles.	这门课介绍基本会计原理。	accounting records	会计记录	本词作名词时表示工作或学科，不必都译成正在计算。
accumulate	/əˈkjuːmjəleɪt/	v. 积累；堆积。	每天回家随手把硬币扔进罐子，起初只有几枚，后来沉得拿不动。accumulate 就记这种一次加一点、慢慢堆起来的过程。	Dust accumulated on the unused shelves.	闲置的架子上积起了灰尘。	accumulate experience	积累经验	主语既可以是主动积累的人，也可以是慢慢积起来的事物。
accumulation	/əˌkjuːmjəˈleɪʃən/	n. 积累；堆积；积聚物。	硬币一点点往罐里放是 accumulate，最后倒出来那一堆，就是长期 accumulation 的结果。记名词时把目光落在过程或积下来的东西上。	An accumulation of leaves blocked the drain.	堆积的落叶堵住了排水口。	the accumulation of knowledge	知识的积累	可谈积累过程，也可谈积聚起来的一批东西。
accumulative	/əˈkjuːmjələtɪv/	adj. 累积的；积聚的。	一晚少睡一小时似乎还撑得住，接连少睡好几天就明显累了。前一次的影响还在，后一次又叠上来，用这个画面记 accumulative。	The study examined the accumulative effects of repeated exposure.	研究考察了反复接触所产生的累积效应。	accumulative effects	累积效应	cumulative 更常用；保留考纲词形，不据此替换冻结词条。
accuracy	/ˈækjərəsi/	n. 准确性；精确度。	十次测量都拿标准值来对照，到底偏了多少？讨论这份“准不准”，用 accuracy；说结果是准的，用 accurate。	We checked the accuracy of the figures before publication.	发表前，我们核查了这些数字的准确性。	with great accuracy	十分准确地	同 precision 的区别需看测量语境，不一律视为完全同义。
accurate	/ˈækjərət/	adj. 准确的；精确的。	按地图走到路口，门牌号和店面都丝毫不差。这个地址标得 accurate。记“对得上事实”，再换到数字、描述上也成立。	The map gives an accurate picture of the local roads.	这张地图准确反映了当地的道路情况。	an accurate description	准确的描述	注意拼写是双 c；不要写成 acurate。
accusation	/ˌækjəˈzeɪʃən/	n. 指控；指责。	有人站出来说“是你拿的”。accuse 是他指责你的动作，accusation 是他说出的那项指控；说出来了，还得看有没有证据。	She denied the accusation and asked for evidence.	她否认了那项指控，并要求提供证据。	make an accusation	提出指控	提出指控不等于指控已被证实。
accuse	/əˈkjuːz/	v. 指责；指控。	想象一只手指向你，紧接着说“是你干的”。把这个指向人的动作同 accuse 连住，再记后面的 of，说明到底指责什么。	They accused the company of hiding the results.	他们指责公司隐瞒结果。	accuse sb. of doing sth.	指责某人做了某事	不用 accuse sb. for；与 charge sb. with 的介词区别开。
accustom	/əˈkʌstəm/	v. 使习惯于。	到了新地方，吃饭、作息都不一样。看见词里的 custom，想起习惯，再想自己一天天把这些新安排过熟了，就是 accustom oneself to。	It took time to accustom myself to the early starts.	我花了一段时间才习惯这么早开始一天。	accustom oneself to	使自己习惯于	to 是介词，后接名词或动名词。
accustomed	/əˈkʌstəmd/	adj. 习惯的；惯常的。	刚搬来时，楼下的早市吵得睡不着；一个月后，照样睡到闹钟响。已经把新环境过成了习惯，就是 accustomed。	She is accustomed to working in a busy office.	她习惯了在忙碌的办公室里工作。	be accustomed to doing	习惯于做	与 get accustomed to 区分状态和逐渐习惯的过程。
ace	/eɪs/	n. 王牌；高手；网球等运动中的发球直接得分。adj. 一流的。	扑克牌翻出一个 A，把它叫作 ace。再把牌桌上最拿得出手的那张牌联想到队里最厉害的人，就记住王牌、高手。	Her final serve was an ace.	她最后一记发球直接得分。	an ace pilot	王牌飞行员	网球义需要发球直接得分，不能把所有漂亮击球都叫 ace。
ache	/eɪk/	n. 疼痛。v. 疼；隐隐作痛；渴望。	牙齿一阵阵地酸，疼得不厉害，却一直赖着不走。先把这种持续的痛记成 ache，再接上 tooth、head，就能认出 toothache、headache。	My legs ached after the long walk.	走了很长一段路后，我的腿酸痛不已。	a dull ache	隐隐的疼痛	常指持续的钝痛；ache for 也可表达渴望。
achieve	/əˈtʃiːv/	v. 达到；实现；取得。	跑步软件里的月目标还差一公里，你跑完最后一段，进度圈终于合上。把 achieve 记在目标真正到手的那一刻。	She worked hard to achieve her goal.	她努力实现自己的目标。	achieve a balance	取得平衡	achieve 后常接 goal、success、balance 等，不直接接不定式。
achievement	/əˈtʃiːvmənt/	n. 成就；达到；完成。	训练很久终于游完一千米，教练把成绩记在纸上。achieve 是达成，achievement 是这件达成了的事，也就是成就。	Completing the bridge was a major engineering achievement.	建成这座桥是一项重要的工程成就。	a major achievement	重大成就	可数时指具体成就；也可谈整体的成就水平。
acid	/ˈæsɪd/	n. 酸。adj. 酸的；尖刻的。	柠檬汁刚入口，嘴角就酸得一缩。先用这股酸味记 acid；听人说话尖刻、句句扎人，再联系 an acid remark，尖酸的话。	The experiment tested how the metal reacted with acid.	实验测试了这种金属与酸的反应。	acid rain	酸雨	化学中的酸不能只凭味觉判断；助记画面不用于实验操作。
acidity	/əˈsɪdəti/	n. 酸性；酸度。	两杯咖啡都偏酸，一杯清亮，一杯酸得皱眉。谈哪杯酸度更高，就说 acidity。acid 说酸，acidity 把酸的性质和程度拎出来。	The soil's acidity affects which plants can grow there.	土壤的酸度影响哪些植物能在那里生长。	soil acidity	土壤酸度	词重音落在第二音节，别照搬 acid 的重音。
acknowledge	/əkˈnɒlɪdʒ/	v. 承认；确认收到；致谢。	盯住后半段 knowledge，联想到“我知道这件事”。别人指出错误，你点头认下，是承认；收到邮件回一句“收到了”，也是 acknowledge。	He acknowledged that the figures were wrong.	他承认那些数字有误。	acknowledge receipt of	确认收到	knowledge 是熟词联想；常见结构为 acknowledge that 或 acknowledge doing。
acknowledgement	/əkˈnɒlɪdʒmənt/	n. 承认；确认；致谢。	提交材料以后，收件箱里终于出现“已收到”的回信。acknowledge 是确认收到，acknowledgement 就是那份确认；论文最后感谢帮过你的人，也用这个词。	We received an acknowledgement of our application.	我们收到了申请已被接收的确认。	in acknowledgement of	为答谢；承认	也拼作 acknowledgment；书末致谢常用复数 acknowledgements。
acquaint	/əˈkweɪnt/	v. 使熟悉；使了解。	第一天上班，前辈带你认打印机、找会议室，一圈走完就不陌生了。acquaint 就是把人从不认识带到有了解。	The guide acquainted us with the building's history.	导游向我们介绍了这座建筑的历史。	acquaint sb. with sth.	使某人了解某事	常见反身形式 acquaint oneself with；不要漏掉 with。
acquaintance	/əˈkweɪntəns/	n. 熟人；相识；了解。	电梯里经常碰见，见面会点头，可还没熟到一起吃饭。这样的认识程度，叫 acquaintance；那个人也可以是 an acquaintance。	We met through a mutual acquaintance.	我们通过一位共同的熟人相识。	make sb.'s acquaintance	结识某人	一般比 friend 关系浅；也可表示对事物有所了解。
acquire	/əˈkwaɪə/	v. 获得；学到；收购。	刚学做饭时只会煮面，半年后已经能端出三菜一汤。本领一点点到了自己手里，叫 acquire a skill。买下资产，也是在获得。	Children acquire language through everyday interaction.	儿童通过日常互动习得语言。	acquire knowledge	获取知识	既可用于逐步学到本领，也可用于获得财产，不必强译成学习。
acquisition	/ˌækwɪˈzɪʃən/	n. 获得；习得；收购；获得物。	看 acquire 和 acquisition 时，把动作与结果放在一起。学会语言是一段 acquisition 的过程，博物馆新买到的画则是一件 new acquisition。	The course focuses on second-language acquisition.	这门课着重研究第二语言习得。	language acquisition	语言习得	拼写变化为 acquire → acquisition，不写 acquirition。
acre	/ˈeɪkə/	n. 英亩。	房产介绍说院子有 two acres，先把 acre 想成丈量土地时用的一块面积单位。和米量长度一样，英亩量的是地有多大。	The farm covers about fifty acres.	这座农场占地约五十英亩。	an acre of land	一英亩土地	1 英亩约为 4047 平方米，不能同 hectare 公顷混用。
across	/əˈkrɒs/	prep. 横过；在……对面；遍及。adv. 到另一边。	看到里面的 cross，想到过马路。从这边人行道走到对面，就是 across the road；重点是越过中间那一片，到另一边。	The pharmacy is across the street.	药店在街对面。	walk across	步行穿过	across 常着眼于表面横越；through 常着眼于内部穿过。
acting	/ˈæktɪŋ/	n. 表演。adj. 代理的；临时任职的。	舞台上正在 act，是 acting，表演。校长出差，副校长先顶上、履行校长的职责，通知上写 acting head，代理负责人。用“正在履行这个角色”串起两义。	She studied acting before joining the theatre company.	加入剧团之前，她学过表演。	an acting manager	代理经理	acting 表代理职务时不等于假冒，也不等于正在表演经理。
activist	/ˈæktɪvɪst/	n. 积极分子；行动倡导者。	别人只在群里讨论小区垃圾问题，他已经拿着签名表挨家敲门。把 active 的积极行动接到人身上，记 activist。	Local activists organised a campaign to protect the park.	当地活动人士组织了保护公园的行动。	an environmental activist	环保活动人士	activist 不必带有激进或暴力的含义，按语境翻译。
actress	/ˈæktrəs/	n. 女演员。	片尾字幕滚过去，女主角的名字出现在 actress 一栏。与 actor 连起来记，act 是演，actress 指女演员。	The actress returned to the stage after a long break.	休息很长一段时间后，这位女演员重返舞台。	a leading actress	女主角演员	actor 也可不分性别地指演员，不能一概认定只指男性。
actual	/ˈæktʃuəl/	adj. 实际的；真实的。	装修报价写两万，最后账单却是三万。actual cost 看的是实际花掉的钱，把“最后真的发生了多少”记住。	The actual cost was higher than the estimate.	实际费用比估算的高。	actual experience	实际经验	actual 表实际，不等于 current 目前的。
actually	/ˈæktʃuəli/	adv. 实际上；确实。	照片把蛋糕拍得占满画面，端上桌却只有手掌大小。Actually, it's quite small，用 actually 把话带到实际情况上。	I thought the shop was closed, but it was actually open.	我以为商店关门了，其实还开着。	actually happen	确实发生	会话里可用于温和纠正；不要每句都机械译成实际上。
acute	/əˈkjuːt/	adj. 急性的；严重的；敏锐的；锐角的。	把 acute angle 的锐角画在纸上，尖尖的那个角先记住。感受很尖锐、问题突然变得严重，也能帮你连到 acute 的其他义项。	The town faces an acute shortage of affordable housing.	这座城镇严重缺乏可负担的住房。	an acute shortage	严重短缺	acute illness 是急性病，不等于所有严重疾病。
ad	/æd/	n. 广告。	视频刚到精彩处，屏幕突然跳出一个 Ad，你开始找跳过按钮。把那个广告角标直接记住，ad 是 advertisement 的缩略形式。	I found the room through an online ad.	我通过一则网上广告找到了这个房间。	place an ad	刊登广告	复数是 ads；与 add 增加的拼写区别开。
adapt	/əˈdæpt/	v. 适应；使适应；改编。	新鞋刚穿有点不合脚，走几天慢慢习惯；小说搬上银幕，也要改得适合电影来讲。adapt 抓住“调到适合新条件”。	It took her a few weeks to adapt to the new schedule.	她花了几周才适应新的时间安排。	adapt to	适应	适应通常是 adapt to；改编自某作品可用 be adapted from。
adaptation	/ˌædæpˈteɪʃən/	n. 适应；改编；改编作品。	同一个故事，书里用三页写心理，电影用一个表情来演。adapt 是改编，银幕上这部改出来的作品就是 an adaptation。	The film is an adaptation of a popular novel.	这部电影改编自一部畅销小说。	a film adaptation	电影改编作品	既指改编过程，也指成品；生物学语境可指适应性特征。
adaptive	/əˈdæptɪv/	adj. 适应的；有适应能力的；自适应的。	屏幕在太阳下自己变亮，回到屋里又暗下来。亮度会随环境 adapt，这种随条件调整的本领，就用 adaptive 描写。	The device uses adaptive lighting to save energy.	该设备通过自适应照明节能。	adaptive behaviour	适应性行为	adaptive 强调适应或调整的性质；不要与 adopted 混淆。
add	/æd/	v. 添加；相加；补充说。	购物车旁边那个加号一点，里面又多了一件东西。add 就跟着“加上”走，给汤加盐、把数相加、说完再补一句，都能串起来。	Add a little water if the mixture is too thick.	如果混合物太稠，就加一点水。	add to	增加；增添	add A to B 是把 A 加到 B；add up to 表示总计。
addict	n. /ˈædɪkt/；v. /əˈdɪkt/	n. 成瘾者；对某事着迷的人。v. 使沉迷。	明明说好只刷五分钟，手指却停不下来，屏幕都快没电了。用这个放不下的画面记 addict；咖啡迷也会自称 a coffee addict。	He jokingly described himself as a coffee addict.	他开玩笑地称自己是个咖啡迷。	a drug addict	吸毒成瘾者	名词首音节重读；常见形容词结构是 be addicted to。
addiction	/əˈdɪkʃən/	n. 瘾；成瘾；沉迷。	addict 指停不下来的人，addiction 则是让他反复回去的那个瘾。把“人”和“状态”分开，两个词就不会只记成同一个中文。	The programme offers support to people dealing with addiction.	该项目为正在应对成瘾问题的人提供支持。	addiction to	对……的成瘾或沉迷	不要把严重的成瘾问题简单等同于一般喜欢。
addictive	/əˈdɪktɪv/	adj. 使人上瘾的；容易让人着迷的。	小游戏一局只要半分钟，输了想再来，赢了还想再来。游戏本身很 addictive，因为它让人容易停不下来。	The game is simple but surprisingly addictive.	这款游戏很简单，却让人意外地着迷。	addictive substances	成瘾性物质	addictive 描写使人上瘾的东西；addicted 常描写已经沉迷的人。
addition	/əˈdɪʃən/	n. 加法；增加；新增的人或物。	本来桌边坐四个人，又搬来一把椅子。add 是添上，the new addition 可以是新加入的那一位。数学课上把数字加起来，也叫 addition。	The library's new reading room is a welcome addition.	图书馆新增的阅览室很受欢迎。	in addition to	除……之外还	in addition 可单独作连接语，in addition to 后需接名词或动名词。
