word_id,root_index,root_id,spelling,root_type,meaning,memory_method
cet4-w-aef3be74ca48b7eb3d7b,0,cy-morph-987154f3eb654a922cfe,class,base,班级；课,
cet4-w-aef3be74ca48b7eb3d7b,1,cy-morph-d90d3f380b289141ab8f,room,base,房间；空间,
cet4-w-ef0a124f24fcdea9f25a,0,cy-morph-a689fa0dc887d0ace80e,news,base,新闻,
cet4-w-ef0a124f24fcdea9f25a,1,cy-morph-74678b4f36347647e834,paper,base,纸；报纸,
cet4-w-da4d2d00a9e5fb8106e9,0,cy-morph-d32c91f3051cb1b11226,well,base,很好地,
cet4-w-da4d2d00a9e5fb8106e9,1,cy-morph-bb46875421a3971bc86d,known,base,为人所知的,
cet4-w-eb44a3c9cc92e7b5e517,0,cy-morph-ab408dbcb2eea9c4944c,manu,root,手,
cet4-w-eb44a3c9cc92e7b5e517,1,cy-morph-64fa89a5e2bd17deb897,fact,root,做；制作,
cet4-w-eb44a3c9cc92e7b5e517,2,cy-morph-51d48dda2c8f37be5c8c,-ure,suffix,过程或结果名词,
cet4-w-7050d50383e85d57962a,0,cy-morph-2d415edc745fcf5e4e9c,agri,root,田地；农业,
cet4-w-7050d50383e85d57962a,1,cy-morph-5ff3bf62b94a85c239b5,cult,root,耕种；培育,
cet4-w-7050d50383e85d57962a,2,cy-morph-51d48dda2c8f37be5c8c,-ure,suffix,过程或结果名词,
