evidence_id,subject_type,subject_id,field_group,source_id,locator,url,claim,origin,review_status,reviewed_at
ev-lex-disabled,word,cet4-w-8bcbba84a7d7eab25b03,base,cambridge-disabled,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/disabled,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-import,word,cet4-w-43ac0394e915760d27a8,base,cambridge-import,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/import,核对名词与动词重音、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-export,word,cet4-w-8c8d138547024805cf9e,base,cambridge-export,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/export,核对名词与动词重音、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-report,word,cet4-w-d3fb2c3206cf3fc68ee3,base,cambridge-report,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/report,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-transport,word,cet4-w-f51c719af127ab336448,base,cambridge-transport,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/transport,核对名词与动词重音、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-support,word,cet4-w-385010cccc39746e3da1,base,cambridge-support,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/support,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-inspect,word,cet4-w-88452520399cf5c4e49e,base,cambridge-inspect,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/inspect,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-respect,word,cet4-w-9cba42e078093d550bf2,base,cambridge-respect,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/respect,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-expect,word,cet4-w-7b27c3e81299f870cb00,base,cambridge-expect,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/expect,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-prospect,word,cet4-w-f262db840d22de476630,base,cambridge-prospect,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/prospect,核对名词与动词重音、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-airport,word,cet4-w-196eea6931afa61926c6,base,cambridge-airport,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/airport,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-blackboard,word,cet4-w-50a30d1bad42f8113242,base,cambridge-blackboard,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/blackboard,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-classroom,word,cet4-w-aef3be74ca48b7eb3d7b,base,cambridge-classroom,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/classroom,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-newspaper,word,cet4-w-ef0a124f24fcdea9f25a,base,cambridge-newspaper,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/newspaper,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-well-known,word,cet4-w-da4d2d00a9e5fb8106e9,base,cambridge-well-known,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/well-known,核对英式音标、连字符拼写和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-color,word,cet4-w-ddf68ca6cd54aa5da878,base,cambridge-color,headword pronunciation spelling and senses,https://dictionary.cambridge.org/dictionary/english/color,核对英式音标、color/colour 拼写变体和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-child,word,cet4-w-d84a36499767c2a3d0e3,base,cambridge-child,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/child,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-manufacture,word,cet4-w-eb44a3c9cc92e7b5e517,base,cambridge-manufacture,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/manufacture,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-agriculture,word,cet4-w-7050d50383e85d57962a,base,cambridge-agriculture,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/agriculture,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-according-to,word,cet4-w-593fc9aa437f4a7f8a46,base,cambridge-according-to,phrase pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/according-to,核对短语拼写、读音和“根据/按照”用法；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-edit-b001,batch,cet4-s2-b001,sentences,cyword-editorial,stage 2 batch 001,authoring/cet4/sample/batch-001.json,本批助记、中文释义、例句、搭配、长句、译文和解析均为 CYword 原创并完成二次复核。,cyword_original,reviewed,2026-09-17
ev-edit-b002,batch,cet4-s2-b002,sentences,cyword-editorial,stage 2 batch 002,authoring/cet4/sample/batch-002.json,本批助记、中文释义、例句、搭配、长句、译文和解析均为 CYword 原创并完成二次复核。,cyword_original,reviewed,2026-09-17
ev-edit-b003,batch,cet4-s2-b003,sentences,cyword-editorial,stage 2 batch 003,authoring/cet4/sample/batch-003.json,本批助记、中文释义、例句、搭配、长句、译文和解析均为 CYword 原创并完成二次复核。,cyword_original,reviewed,2026-09-17
ev-etym-act,morpheme,family-act,morphology,etymonline-act,origin and history,https://www.etymonline.com/word/act,act 家族来自表示“做、驱动”的拉丁词干；action、active、actor 与 react 的关系据此核对。,etymology_reference,reviewed,2026-09-04
ev-etym-able,morpheme,family-able,morphology,etymonline-enable,origin and history,https://www.etymonline.com/word/enable,able 作为现代英语词基；enable 为 en- 加 able，disable/disabled 的构词关系另经关联词条交叉核对。,etymology_reference,reviewed,2026-09-04
ev-etym-suffixes,morpheme,derivational-suffixes,morphology,etymonline-suffixes,linked suffix entries,https://www.etymonline.com/word/-ity,核对 -ity 等派生后缀表达性质、状态或构成相应词类的作用；样板只按实际单词使用。,etymology_reference,reviewed,2026-09-04
ev-etym-port,morpheme,family-port,morphology,etymonline-port,verb portare and linked entries,https://www.etymonline.com/word/port,拉丁 portare 表示“携带、运送”，是 import、export、report、transport、support 的构词来源；港口义 port 单独登记。,etymology_reference,reviewed,2026-09-04
ev-etym-spect,morpheme,family-spect,morphology,etymonline-inspect,Latin specere and PIE spek,https://www.etymonline.com/word/inspect,inspect、respect、expect、prospect 共享“看、观察”的历史词根；expect 的 pect 为表面变体。,etymology_reference,reviewed,2026-09-04
ev-etym-airport,morpheme,compound-airport,morphology,etymonline-airport,compound history,https://www.etymonline.com/word/airport,airport 按现代英语透明复合结构 air + port 分析；此处 port 为“港口”词基。,etymology_reference,reviewed,2026-09-04
ev-etym-blackboard,morpheme,compound-blackboard,morphology,etymonline-blackboard,compound history,https://www.etymonline.com/word/blackboard,blackboard 为 black + board 的透明复合词。,etymology_reference,reviewed,2026-09-04
ev-etym-classroom,morpheme,compound-classroom,morphology,etymonline-classroom,compound history,https://www.etymonline.com/word/classroom,classroom 为 class + room 的透明复合词。,etymology_reference,reviewed,2026-09-04
ev-etym-newspaper,morpheme,compound-newspaper,morphology,etymonline-newspaper,compound history,https://www.etymonline.com/word/newspaper,newspaper 为 news + paper 的透明复合词。,etymology_reference,reviewed,2026-09-04
ev-etym-well-known,morpheme,compound-well-known,morphology,etymonline-well-known,compound history,https://www.etymonline.com/word/well-known,well-known 由 well 与 known 组合并保留连字符，整体作形容词。,etymology_reference,reviewed,2026-09-04
ev-etym-manufacture,morpheme,word-manufacture,morphology,etymonline-manufacture,Latin manu and factura,https://www.etymonline.com/word/manufacture,manufacture 源于 manu“手”与 factura“制作”，样板登记 manu 和 fact 两个真正词根。,etymology_reference,reviewed,2026-09-04
ev-etym-agriculture,morpheme,word-agriculture,morphology,etymonline-agriculture,Latin agri cultura,https://www.etymonline.com/word/agriculture,agriculture 源于 agri“田地”与 cultura“耕作”，样板登记 agr 和 cult 两个真正词根。,etymology_reference,reviewed,2026-09-04
ev-etym-color,word,cet4-w-ddf68ca6cd54aa5da878,morphology,etymonline-color,origin and history,https://www.etymonline.com/word/color,color/colour 作为整体词学习，不按相似字母强拆构词。,etymology_reference,reviewed,2026-09-04
ev-etym-child,word,cet4-w-d84a36499767c2a3d0e3,morphology,etymonline-child,origin and history,https://www.etymonline.com/word/child,child 为古英语传承词，样板不制造可参与排课的拉丁或希腊词根。,etymology_reference,reviewed,2026-09-04
ev-etym-according-to,word,cet4-w-593fc9aa437f4a7f8a46,morphology,etymonline-according,phrase history,https://www.etymonline.com/word/according,according to 已词汇化为介词短语，样板按整体用法学习，不按字母片段拆分。,etymology_reference,reviewed,2026-09-04
