given	lexicalized	规定的、特定的，以及考虑到的介词用法。
granted	lexicalized	诚然、假定，保留让步或条件表达。
greeting	lexicalized	问候、招呼，是独立名词。
ground	homograph	地面、土地、理由等名词义，不随 grind 的过去式删除。
handicapped	lexicalized	有残障的；正文需交代用语语境，避免作为称呼人的默认表达。
heading	lexicalized	标题，是文档组成部分。
hearing	lexicalized	听力、听证会，具有独立名词义。
heated	lexicalized	激烈的，保留 heated discussion 等引申用法。
heating	lexicalized	供暖、暖气系统，是设施或活动名称。
hiding	lexicalized	躲藏、藏身状态，保留 in hiding 等名词结构。
housing	lexicalized	住房、住房供给，不按 house 的普通变化删去。
hunting	lexicalized	狩猎，是活动名称。
imaging	lexicalized	成像，是技术或过程名称。
imposing	lexicalized	壮观的、气势宏伟的，具有稳定形容词义。
including	lexicalized	包括，介词用法。
interested	lexicalized	感兴趣的，描述人的状态。
inviting	lexicalized	诱人的、吸引人的，描述事物性质。
involved	lexicalized	复杂的、有关的，保留形容词义项。
landing	lexicalized	降落、楼梯平台等名词义。
later	lexicalized	后来、以后，作为常用时间副词独立讲解。
lay	homograph	放置、产卵，是独立动词；与 lie 的过去式区分。
leading	lexicalized	主要的、领先的，描述地位或作用。
learned	lexicalized	博学的，形容词读音与普通过去式有别。
learning	lexicalized	学问、学习，作为抽象名词讲解。
left	homograph	左边、向左等独立用法，不随 leave 的过去式删除。
lighting	lexicalized	照明、灯光设备，是独立名词。
limited	lexicalized	有限的，描述数量或范围。
living	lexicalized	生计、生活，以及活着的，具有独立词性义项。
lodging	lexicalized	住宿、住处，是独立名词。
lower	lexicalized	降低、放下的动词用法，需要区别于 low 的比较级。
meaning	lexicalized	含义、意义，是独立名词。
means	lexicalized	方法、手段，单复数同形，不能只按 mean 的变化处理。
mechanics	lexicalized	力学，与 mechanic 的机械师复数区分。
meeting	lexicalized	会议、会面，是独立名词。
mining	lexicalized	采矿、采矿业，是行业名称。
missing	lexicalized	失踪的、缺失的，描述状态。
mistaken	lexicalized	错误的、误解的，具有形容词用法。
mounting	lexicalized	安装、支架等名词义，以及不断增加的形容词用法。
networking	lexicalized	联网、建立人际联系，保留现代常用义。
number	false_lemma	数字、数量的 number 不能归入 numb 的比较级。
offering	lexicalized	供品、提供的产品等，指具体事物。
Olympics	lexicalized	奥林匹克运动会，是固定赛事名称。
opening	lexicalized	开口、开幕、空缺等独立名词义。
outing	lexicalized	郊游、短途出游，是活动名称。
overwhelming	lexicalized	压倒性的，描述力量或程度。
parking	lexicalized	停车、停车位供给，是独立名词。
planning	lexicalized	规划、筹划，是独立名词。
pleasing	lexicalized	令人愉快的，描述引起的感受。
politeness	false_lemma	礼貌，是 polite 的派生名词；politenes 是错误的词形还原结果。
pressing	lexicalized	紧迫的，描述问题或需求。
printing	lexicalized	印刷、印刷业，是活动或行业名称。
privileged	lexicalized	有特权的、荣幸的，具有形容词用法。
proceedings	lexicalized	会议记录、诉讼程序等固定复数名词义。
promising	lexicalized	有前途的，描述发展潜力。
provided	lexicalized	只要、假如，连词用法。
ragged	lexicalized	破烂的、参差不齐的，具有稳定形容词义和独立读音。
raging	lexicalized	猛烈的、肆虐的，描述火灾或风暴等。
rating	lexicalized	等级、评级，是独立名词。
reading	lexicalized	阅读、读数、理解方式等独立名词义。
recording	lexicalized	录音、录像、录制品，指作品或活动。
regarding	lexicalized	关于，介词用法。
rendering	lexicalized	翻译、演绎、效果图等名词义。
reserved	lexicalized	矜持的、寡言的，描述性格。
retelling	reference_corrected	复述、改述的故事版本，保留名词义，不仅作为 retell 的现在分词。
retired	lexicalized	退休的，描述职业状态。
rewarding	lexicalized	值得做的、有益的，描述事情带来的满足或收益。
rose	homograph	玫瑰，是独立名词，不随 rise 的过去式删除。
ruling	lexicalized	裁决，以及执政的，具有独立词性义项。
running	lexicalized	跑步、运营，以及连续的，具有独立词性义项。
sailing	lexicalized	帆船运动、航行，是活动名称。
saving	lexicalized	节省、节约额；另在本条说明 savings 的储蓄义。
saying	lexicalized	谚语、格言，是独立名词。
schooling	lexicalized	学校教育，是独立名词。
seeming	lexicalized	表面上的，描述外观与事实可能有别。
serving	lexicalized	一份食物，是可数名词。
setting	lexicalized	背景、环境、设置等独立名词义。
shipping	lexicalized	航运、装运，是行业或活动名称。
shopping	lexicalized	购物，是活动名称。
shot	homograph	射击、照片、注射等名词义，不随 shoot 的过去式删除。
sitting	lexicalized	一次会议或就餐等，以及现任的，具有独立词性义项。
skating	lexicalized	滑冰，是运动名称。
skiing	lexicalized	滑雪，是运动名称。
sophisticated	lexicalized	复杂精密的、老练的，具有稳定形容词义。
speeding	lexicalized	超速驾驶，指特定行为。
spelling	lexicalized	拼写、拼法，是独立名词。
spending	lexicalized	支出、开销，是独立名词。
stocking	homograph	长袜，是具体物品，不按 stock 的动作变化归并。
stranger	false_lemma	陌生人，是 strange 的派生名词；不能仅当作比较级。
striking	lexicalized	显著的、引人注目的，具有稳定形容词义。
stuffing	lexicalized	填充物、馅料，指具体事物。
suffering	lexicalized	痛苦、苦难，是独立名词。
surfing	lexicalized	冲浪，是运动名称。
swimming	lexicalized	游泳，是运动名称。
teaching	lexicalized	教学、教导、学说，具有独立名词义。
telecommunications	syllabus_form	电信、电信业，考纲采用此复数形式，当前目标表不重复收录单数。
telling	lexicalized	说明问题的、有力的，保留形容词义。
thinking	lexicalized	思考、看法，具有独立名词义。
thought	lexicalized	想法、思想，不能只当作 think 的过去式。
tiring	lexicalized	累人的，描述引起的感受。
trying	lexicalized	令人厌烦的、难对付的，描述经历或处境。
underdeveloped	lexicalized	不发达的、发育不足的，具有稳定形容词义。
understanding	lexicalized	理解、谅解，以及体谅人的，具有独立词性义项。
undertaking	lexicalized	任务、事业、承诺，是独立名词。
used	lexicalized	二手的，以及 be used to 的习惯表达。
warning	lexicalized	警告、警报，是独立名词。
washing	lexicalized	洗涤、待洗或已洗的衣物，是独立名词。
weed	false_lemma	杂草、除草的 weed 不能归入 wee 的变化。
worried	lexicalized	担心的，描述人的状态。
worse	irregular_comparison	大纲单列的不规则比较级；保留更坏的、更坏地，关联 bad。
worst	irregular_comparison	大纲单列的不规则最高级；保留最坏的、最坏情况，关联 bad。
wound	homograph	伤口、使受伤，与 wind 的过去式读音义项有别。
wrapping	lexicalized	包装材料、包装纸，指具体物品。
writing	lexicalized	写作、文字、作品，具有独立名词义。
