spelling,tags,target_word_ids,decision,reason,translation_reference,inflections_reference,source_id
accelerate,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-ea78159e6b442c05331c""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"v. 加速, 促进",p:accelerated/d:accelerated/i:accelerating/3:accelerates,ecdict-bc015ed2e24a
acceleration,cet4 toefl,"[""cet4-w-05e383312cbf7488687e""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 加速, 促进, 加速度
[化] 加速度",s:accelerations,ecdict-bc015ed2e24a
accent,zk gk cet4 ky,"[""cet4-w-a74d5aaf2d89f72b022e""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调",s:accents/p:accented/i:accenting/d:accented/3:accents,ecdict-bc015ed2e24a
accept,zk gk cet4 ky,"[""cet4-w-fe986222f5116ea3b17e""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意",d:accepted/p:accepted/i:accepting/3:accepts,ecdict-bc015ed2e24a
acceptable,cet4,"[""cet4-w-6cd94ae4886768d442f2""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 可接受的, 合意的, 可忍受的",,ecdict-bc015ed2e24a
acceptance,cet4 cet6 ky,"[""cet4-w-45d62199f67daa2d9ed8""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
[经] 承兑, 认付, (工程)验收",s:acceptances,ecdict-bc015ed2e24a
access,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-6884dbea1171da92f87d""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
[计] 访问, 存取",d:accessed/i:accessing/3:accesses/s:accesses/p:accessed,ecdict-bc015ed2e24a
accessory,cet4 cet6 ky toefl ielts gre,[],outside_selected_syllabus,ECDICT 标签仅作候选；所选考纲四级范围无对应词形，不自动加入。,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
[计] 附件",s:accessories,ecdict-bc015ed2e24a
accident,zk gk cet4 ky toefl,"[""cet4-w-0f4159cadc2af6a38502""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 意外事件, 机遇, 事故, 次要方面
[化] 意外事故; 事故",s:accidents,ecdict-bc015ed2e24a
accidental,cet4 cet6 ky toefl,"[""cet4-w-df7ac4809139e92350df""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面",s:accidentals,ecdict-bc015ed2e24a
accommodate,cet4 cet6 ky toefl ielts gre,"[""cet4-w-1f2a401710d0596de35f""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应",d:accommodated/i:accommodating/3:accommodates/p:accommodated,ecdict-bc015ed2e24a
accommodation,gk cet4 cet6 ky ielts,"[""cet4-w-1edda9ffe6c8d05f5ef0""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
[医] 调节(眼); 适应",s:accommodations,ecdict-bc015ed2e24a
accompany,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-7580e0daca7bf28654b8""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱",d:accompanied/p:accompanied/i:accompanying/3:accompanies,ecdict-bc015ed2e24a
accomplish,gk cet4 ky toefl ielts gre,"[""cet4-w-d740153e791bc21b4bd6""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 完成, 达到, 实现, 使完美",d:accomplished/p:accomplished/i:accomplishing/3:accomplishes,ecdict-bc015ed2e24a
accord,cet4 cet6 ky toefl ielts gre,"[""cet4-w-d74307e606e88ed5867e""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合",i:according/d:accorded/3:accords/s:accords/p:accorded,ecdict-bc015ed2e24a
accordance,cet4 cet6 ky,"[""cet4-w-26b19ca0db642361e9b8""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 一致, 和谐",,ecdict-bc015ed2e24a
accordingly,cet4 cet6 ky,"[""cet4-w-4c4dbcf45110b86d739b""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"adv. 相应地, 因此, 于是",,ecdict-bc015ed2e24a
account,gk cet4 ky toefl ielts,"[""cet4-w-502dc8470d46995e3b29""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
[计] 帐户, 帐号",s:accounts/d:accounted/i:accounting/3:accounts/p:accounted,ecdict-bc015ed2e24a
accumulate,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-b5bb411c0158c87ffbb7""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"v. 积聚, 堆积",d:accumulated/i:accumulating/3:accumulates/p:accumulated,ecdict-bc015ed2e24a
accuracy,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-01f16ae66e034320cb43""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 精确, 正确
[计] 准确度",s:accuracies,ecdict-bc015ed2e24a
accurate,cet4 cet6 ky toefl ielts gre,"[""cet4-w-7a7aa95ab6907ff16ef0""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 正确的, 精确的
[经] 准确的, 精确的",,ecdict-bc015ed2e24a
accuse,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-f5ff766854c64e6a7f21""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 指责, 控告, 归咎于
vi. 指责, 控告",d:accused/p:accused/i:accusing/3:accuses,ecdict-bc015ed2e24a
accustom,cet4 cet6 ky toefl,"[""cet4-w-44f596d480d72894a730""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,vt. 使习惯于,d:accustomed/p:accustomed/3:accustoms/i:accustoming,ecdict-bc015ed2e24a
accustomed,gk cet4 cet6 ky toefl,"[""cet4-w-5100359a7add5be3f74e""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 惯常的, 习惯了的",d:accustomed/0:accustomed/1:dp/p:accustomed,ecdict-bc015ed2e24a
ache,zk gk cet4 ky,"[""cet4-w-c423ac00896004d5e86c""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 疼痛
vi. 痛, 哀怜, 渴望",p:ached/i:aching/d:ached/3:aches,ecdict-bc015ed2e24a
achieve,zk gk cet4 cet6 ky toefl ielts,"[""cet4-w-3fdc7170836acb699c27""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 完成, 达到
vi. 如愿以偿",d:achieved/i:achieving/p:achieved/3:achieves,ecdict-bc015ed2e24a
achievement,gk cet4 cet6 toefl ielts,"[""cet4-w-c0fd2ee8dcbbb3b36504""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 完成, 成就, 功业",s:achievements,ecdict-bc015ed2e24a
acid,gk cet4 cet6 ky toefl ielts,"[""cet4-w-6db3ca8c9f5f7f74501f""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
[计] 自动文档互参与索引生成程序",s:acids,ecdict-bc015ed2e24a
acknowledge,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-5e9f2bb803ec3bbd7f59""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 承认, 告知收悉, 答谢, 报偿
[经] 承认, 答谢, 收到的通知",p:acknowledged/d:acknowledged/3:acknowledges/i:acknowledging,ecdict-bc015ed2e24a
acquaintance,gk cet4 cet6 ky toefl gre,"[""cet4-w-ca462313c254fd6ecb87""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 认识, 相识者",s:acquaintances,ecdict-bc015ed2e24a
acquire,gk cet4 cet6 ky toefl ielts,"[""cet4-w-81853f95f10e012cafad""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 获得, 学到
[电] 目标锁定",d:acquired/p:acquired/i:acquiring/3:acquires,ecdict-bc015ed2e24a
acquisition,gk cet4 cet6 ky toefl ielts,"[""cet4-w-bdb4812be6fe730050b8""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 获得, 获得物
[经] 收购, 招揽, 取得",s:acquisitions,ecdict-bc015ed2e24a
acre,gk cet4 ky toefl,"[""cet4-w-71a91c5bc1d36cf51b9e""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,n. 英亩,s:acres,ecdict-bc015ed2e24a
act,zk gk cet4 ky,"[""cet4-w-dcc6b6de5d3f3f80ff02""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",i:acting/s:acts/p:acted/d:acted/3:acts,ecdict-bc015ed2e24a
action,zk gk cet4 cet6 ky toefl ielts,"[""cet4-w-b4e76965b5a7943279ac""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
[计] 方式",s:actions/i:actioning/p:actioned/3:actions,ecdict-bc015ed2e24a
active,zk gk cet4 ky toefl,"[""cet4-w-560e8b954a1a6e8c9768""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子",s:actives,ecdict-bc015ed2e24a
activity,zk gk cet4 ky ielts,"[""cet4-w-4ced4a567905ee623d9d""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 活动, 行动, 活跃, 活力
[计] 活动",s:activities,ecdict-bc015ed2e24a
actor,gk cet4 ky ielts,"[""cet4-w-45384c5a5727e65aeb71""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 男演员, 行动者
[医] 作用物, 反应物",s:actors,ecdict-bc015ed2e24a
actress,gk cet4 ky,"[""cet4-w-996e8063308235c5ef59""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,n. 女演员,s:actresses,ecdict-bc015ed2e24a
actual,gk cet4 ky toefl,"[""cet4-w-1585d72748c764fdc715""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 真实的, 实际的, 现行的
[医] 实际死亡率",s:actuals,ecdict-bc015ed2e24a
actually,cet4 cet6 toefl,"[""cet4-w-35933c866d479febfd5d""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"adv. 事实上, 竟然, 如今, 现在",,ecdict-bc015ed2e24a
acute,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-3d98e5db5ab2fed7b3a1""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
[医] 急性的; 尖锐的",s:acutes/t:acutest,ecdict-bc015ed2e24a
ad,cet4,"[""cet4-w-e7cddeac5a76bef5c4f9""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 广告
[计] 地址, 模拟-数字",s:ads,ecdict-bc015ed2e24a
adapt,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-ce5ce25d8f0e7194cc10""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 使适应, 改编
vi. 适应",d:adapted/i:adapting/p:adapted/3:adapts,ecdict-bc015ed2e24a
add,zk gk cet4 ky,"[""cet4-w-9103ec43533f3656675e""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
[计] 加法",p:added/d:added/i:adding/3:adds,ecdict-bc015ed2e24a
addition,gk cet4 cet6 ky ielts gre,"[""cet4-w-1f43ac46516340a2c567""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 加法, 增加的人(或物)
[计] 加法",s:additions,ecdict-bc015ed2e24a
additional,cet4 cet6 ky toefl ielts,"[""cet4-w-402de9743b898c93a5a7""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 附加的, 另外的, 额外的
[机] 加添的, 附加的",,ecdict-bc015ed2e24a
address,zk gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-4ad740efa6ce91ebdc49""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址",d:addressed/i:addressing/s:addresses/p:addressed/3:addresses,ecdict-bc015ed2e24a
adequate,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-3280840e02945516df84""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 适当的, 足够的
[法] 胜任的, 适当的, 充分的",,ecdict-bc015ed2e24a
adhere,cet4 cet6 ky toefl ielts gre,[],outside_selected_syllabus,ECDICT 标签仅作候选；所选考纲四级范围无对应词形，不自动加入。,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附",d:adhered/i:adhering/p:adhered/3:adheres,ecdict-bc015ed2e24a
adjective,cet4 ky,"[""cet4-w-c01fb4394e58c21d5942""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 形容词
a. 形容词的, 从属的",s:adjectives,ecdict-bc015ed2e24a
adjust,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-a8695ab2eba26f553554""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应",d:adjusted/i:adjusting/p:adjusted/3:adjusts,ecdict-bc015ed2e24a
administration,gk cet4 cet6 ky toefl ielts,"[""cet4-w-b94968e5eac90a8ffb83""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 行政, 管理, 政府机关
[化] 给药",s:administrations,ecdict-bc015ed2e24a
admire,gk cet4 ky toefl gre,"[""cet4-w-29ee784062f13fd44f42""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇",p:admired/d:admired/i:admiring/3:admires,ecdict-bc015ed2e24a
admission,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-3d9d3f4d63716d89da4e""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 准许进入, 入场费, 录用, 承认
[经] 加入, 入股",s:admissions,ecdict-bc015ed2e24a
admit,gk cet4 ky toefl,"[""cet4-w-7905547b4c80ee139e80""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认",p:admitted/d:admitted/3:admits/i:admitting,ecdict-bc015ed2e24a
adopt,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-e594ff5e95ec239dbedd""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 采用, 正式通过, 收养, 接受
[医] 采取",d:adopted/p:adopted/i:adopting/3:adopts,ecdict-bc015ed2e24a
adult,gk cet4 ky ielts,"[""cet4-w-976ec6c3c634655b51ca""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 成人, 成虫
a. 成年的, 成熟的",s:adults,ecdict-bc015ed2e24a
advance,gk cet4 cet6 ky toefl,"[""cet4-w-9a5bf6b697d3a4612ad8""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的",s:advances/d:advanced/p:advanced/i:advancing/3:advances,ecdict-bc015ed2e24a
advanced,cet4 ky toefl ielts,"[""cet4-w-7d7b5cb0fd482530edf8""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 在前的, 高级的, 先进的, 年老的
[法] 预付的, 预支的, 垫付的",0:advance/1:dp/p:advanced/d:advanced,ecdict-bc015ed2e24a
advantage,zk gk cet4 ky,"[""cet4-w-2c156f3c4527e4e2edab""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 优点, 便利, 好处, 优势
vt. 有助于",s:advantages/d:advantaged/i:advantaging/p:advantaged/3:advantages,ecdict-bc015ed2e24a
adventure,gk cet4 ky toefl,"[""cet4-w-4175a16ea1d2763efce0""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 冒险, 冒险经历
v. 冒险",s:adventures/i:adventuring/p:adventured/3:adventures/d:adventured,ecdict-bc015ed2e24a
adverb,cet4 ky,"[""cet4-w-cb23720950cec8a0717e""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,n. 副词,s:adverbs,ecdict-bc015ed2e24a
advertise,gk cet4 cet6 ky ielts gre,"[""cet4-w-2b53d6d596a94aab7358""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 做广告, 通知, 公布
vi. 做广告",d:advertised/p:advertised/i:advertising/3:advertises,ecdict-bc015ed2e24a
advertisement,zk gk cet4 ielts,"[""cet4-w-438d3f65382c41b03b15""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 广告, 启事, 广告宣传
[法] 广告, 公告, 告示",s:advertisements,ecdict-bc015ed2e24a
advice,zk gk cet4 cet6 ky toefl ielts,"[""cet4-w-31464168a4e20e190caf""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 忠告, 劝告, 意见, 报道, 通知
[经] 通知书, 通知, 建议",,ecdict-bc015ed2e24a
advisable,cet4 cet6 ky toefl gre,"[""cet4-w-b14a7223a66a4be986cc""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 适当的, 明智的",,ecdict-bc015ed2e24a
advise,zk gk cet4 cet6 ky toefl,"[""cet4-w-dfacdd38e988155c0bb9""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量",d:advised/p:advised/i:advising/3:advises,ecdict-bc015ed2e24a
advocate,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-d95035938f8c5b5efc85""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 提倡者, 拥护者
vt. 主张, 提倡",d:advocated/s:advocates/i:advocating/p:advocated/3:advocates,ecdict-bc015ed2e24a
aeroplane,gk cet4 cet6 ky,"[""cet4-w-f2ec9ab237f25e3fdc36""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 飞机
[机] 飞机",s:aeroplanes,ecdict-bc015ed2e24a
affair,gk cet4 cet6 ky toefl,"[""cet4-w-3411c399a443eb0c2c39""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 事件, 事务, 恋爱事件",s:affairs,ecdict-bc015ed2e24a
affect,gk cet4 cet6 ky toefl ielts,"[""cet4-w-be633f3beaca7dbb4b35""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情",d:affected/i:affecting/3:affects/p:affected/s:affects,ecdict-bc015ed2e24a
affection,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-2b0394fab5af21678a68""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 影响, 病, 喜爱, 情感, 倾向
[医] 疾患, 病变, 病; 感情",s:affections,ecdict-bc015ed2e24a
affluent,cet4 ky toefl gre,"[""cet4-w-2799d885f6e074f1938f""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 丰富的, 富裕的
n. 支流, 富人",,ecdict-bc015ed2e24a
afford,zk gk cet4 cet6 ky toefl ielts,"[""cet4-w-607185ce10e7e8f817dc""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 买得起, 足以, 给予",d:afforded/3:affords/p:afforded/i:affording,ecdict-bc015ed2e24a
Africa,gk cet4 ielts,[],outside_selected_syllabus,ECDICT 标签仅作候选；所选考纲四级范围无对应词形，不自动加入。,n. 非洲,,ecdict-bc015ed2e24a
African,gk cet4 ielts,[],outside_selected_syllabus,ECDICT 标签仅作候选；所选考纲四级范围无对应词形，不自动加入。,"n. 非洲人
a. 非洲的, 非洲人的",s:africans,ecdict-bc015ed2e24a
afterward,gk cet4 cet6 ky,"[""cet4-w-87da8d1254b2b8adff0f""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"adv. 然后, 后来",,ecdict-bc015ed2e24a
against,zk gk cet4 ky,"[""cet4-w-dd9ddbde077c248d2ad9""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"prep. 反对, 对着, 倚靠",,ecdict-bc015ed2e24a
agency,gk cet4 ky ielts,"[""cet4-w-8ac5f01ee2a3a56cb08c""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 代理机构, 经销商, 中介
[化] 办事处",s:agencies,ecdict-bc015ed2e24a
agent,gk cet4 ky toefl,"[""cet4-w-e095d12bbceea91468be""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 代理商, 政府代表, 动原, 媒介
[计] 代理程序",s:agents,ecdict-bc015ed2e24a
aggressive,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-e18276e410584ed9a4b1""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 侵略的, 挑畔的, 进取的
[法] 侵略的, 爱挑衅的, 行为过火的",,ecdict-bc015ed2e24a
agony,cet4 cet6 ky ielts gre,[],outside_selected_syllabus,ECDICT 标签仅作候选；所选考纲四级范围无对应词形，不自动加入。,"n. 极大的痛苦, 挣扎
[医] 濒死苦闷; 剧痛",s:agonies,ecdict-bc015ed2e24a
agriculture,gk cet4 cet6 ky toefl ielts,"[""cet4-w-7050d50383e85d57962a""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 农业
[机] 农业, 农学",,ecdict-bc015ed2e24a
aid,gk cet4 cet6 ky,"[""cet4-w-6ec1d4570e178f8bc45f""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
[计] 自动内部诊断",s:aids/d:aided/i:aiding/p:aided/3:aids,ecdict-bc015ed2e24a
aim,gk cet4 cet6 ky toefl ielts,"[""cet4-w-5273b9826de04f678d1b""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
[计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块
应用接口模块, 医学人工智能, 相联索引法, 异步接口模块
自动化信息管理, 自动化综合制造, 自动化库存管理",s:aims/3:aims/p:aimed/d:aimed/i:aiming,ecdict-bc015ed2e24a
aircraft,gk cet4 ky toefl,"[""cet4-w-8cf065b326b5bc0e282f""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 航空器, 飞机
[机] 航空器",,ecdict-bc015ed2e24a
