word_id,spelling,lemma,source_roles,translation_reference,category,review_status,decision,reason,evidence,reviewed_at
cet4-w-98e29c79a2bfdad7a335,bedding,bed,listed_related,"n. 被褥, 寝具, 床上用品, 基床
[机] 褥草, 被褥",lexicalized,editorial_reviewed,retain_independent,床上用品，指一类物品。,references/lexical.csv#cet4-w-98e29c79a2bfdad7a335,2026-09-17
cet4-w-97fc225684c868ce0315,beginning,begin,listed_related,n. 开始,lexicalized,editorial_reviewed,retain_independent,开端、开始部分，可作名词。,references/lexical.csv#cet4-w-97fc225684c868ce0315,2026-09-17
cet4-w-728655f6e5db49abd4ff,being,be,headword,"n. 存在, 性质, 生命, 人, 生物, be的现在分词",lexicalized,editorial_reviewed,retain_independent,生物、存在，保留 human being 等名词用法。,references/lexical.csv#cet4-w-728655f6e5db49abd4ff,2026-09-17
cet4-w-7e74cfd51d6156a18345,best,good,headword,"a. 最好的
adv. 最好地
n. 最好的人",irregular_comparison,editorial_reviewed,retain_independent,大纲单列的不规则最高级，并有最佳者、最好地等用法；关联 good。,references/lexical.csv#cet4-w-7e74cfd51d6156a18345,2026-09-17
cet4-w-96700ce8fe4d5fa4593f,better,good,headword,"a. 较好的
adv. 比较好",irregular_comparison,editorial_reviewed,retain_independent,大纲单列的不规则比较级，并有改善的动词用法；关联 good。,references/lexical.csv#cet4-w-96700ce8fe4d5fa4593f,2026-09-17
cet4-w-27f74e7c9c3dd68895c9,bit,bite,headword,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
[计] 比特, 二进制数位, 机内测试",homograph,editorial_reviewed,retain_independent,小块、少量、比特等义，不应随 bite 的过去式一并移除。,references/lexical.csv#cet4-w-27f74e7c9c3dd68895c9,2026-09-17
cet4-w-219f8ce640e8ab9d26ee,blessing,bless,listed_related,n. 祝福,lexicalized,editorial_reviewed,retain_independent,祝福、幸事，可作名词。,references/lexical.csv#cet4-w-219f8ce640e8ab9d26ee,2026-09-17
cet4-w-05bbeec750c9c2e09f44,bore,bear,headword,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
[计] 内径; 孔径",homograph,editorial_reviewed,retain_independent,使厌烦、钻孔等独立词义，与 bear 的过去式区分。,references/lexical.csv#cet4-w-05bbeec750c9c2e09f44,2026-09-17
cet4-w-305b0b496be89016a9d0,born,bear,headword,"a. 天生的
bear的过去分词",lexicalized,editorial_reviewed,retain_independent,天生的，以及 be born 的固定出生表达。,references/lexical.csv#cet4-w-305b0b496be89016a9d0,2026-09-17
cet4-w-e2bc673172f86b1d0bbb,bound,bind,headword,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
[计] 装订的",homograph,editorial_reviewed,retain_independent,界限、跳跃，以及注定的等用法；不能只按 bind 的过去式处理。,references/lexical.csv#cet4-w-e2bc673172f86b1d0bbb,2026-09-17
cet4-w-52b71831eedcfc500805,boxing,box,headword,"n. 拳击
[医] 围模(牙科)",lexicalized,editorial_reviewed,retain_independent,拳击，是运动名称。,references/lexical.csv#cet4-w-52b71831eedcfc500805,2026-09-17
cet4-w-1a2b3ce9a736184068bc,briefing,brief,listed_related,"n. 简报
[法] 简报, 情况的简要介绍",lexicalized,editorial_reviewed,retain_independent,情况介绍、简报会，是可独立命名的活动。,references/lexical.csv#cet4-w-1a2b3ce9a736184068bc,2026-09-17
cet4-w-81570b03050d59e427f7,broke,break,headword,"a. 一文不名的
break的过去式",lexicalized,editorial_reviewed,retain_independent,身无分文的，与 break 的时态变化区分。,references/lexical.csv#cet4-w-81570b03050d59e427f7,2026-09-17
cet4-w-3ee2972d6114ed86308c,building,build,listed_related,"n. 建筑物, 建筑
[法] 营造, 建筑, 建筑物",lexicalized,editorial_reviewed,retain_independent,建筑物，可数名词。,references/lexical.csv#cet4-w-3ee2972d6114ed86308c,2026-09-17
cet4-w-5267f172cc91ccaa2452,calculating,calculate,listed_related,"a. 计算的, (贬)专为自己打算的, 深谋远虑的
[计] 计算",lexicalized,editorial_reviewed,retain_independent,精于算计的，描述性格。,references/lexical.csv#cet4-w-5267f172cc91ccaa2452,2026-09-17
cet4-w-f33dd244a0c0043dba33,calling,call,headword,"n. 职业, 行业, 呼唤, 召集
[计] 呼叫",lexicalized,editorial_reviewed,retain_independent,职业、使命感，与 call 的动作变化区分。,references/lexical.csv#cet4-w-f33dd244a0c0043dba33,2026-09-17
cet4-w-d169357c4b44d892ab63,challenging,challenge,listed_related,"a. 挑战的, 引起争论的",lexicalized,editorial_reviewed,retain_independent,有挑战性的，描述任务的难度。,references/lexical.csv#cet4-w-d169357c4b44d892ab63,2026-09-17
cet4-w-6ff4a3da5ce47e9a1735,charming,charm,listed_related,"a. 迷人的, 有吸引力的",lexicalized,editorial_reviewed,retain_independent,迷人的，描述人物或事物的吸引力。,references/lexical.csv#cet4-w-6ff4a3da5ce47e9a1735,2026-09-17
cet4-w-e3a052bfcd2176b6c6dc,classified,classify,listed_related,"a. 分类的, 被归入某类的, 被指定为机密的
[建] 分了类的, 分了级的",lexicalized,editorial_reviewed,retain_independent,机密的，与普通分类动作区分。,references/lexical.csv#cet4-w-e3a052bfcd2176b6c6dc,2026-09-17
cet4-w-6af5dd75fda7b45e411d,compelling,compel,listed_related,"a. 强制的, 强迫性的, 激发兴趣的",lexicalized,editorial_reviewed,retain_independent,令人信服的、引人入胜的，描述理由或内容。,references/lexical.csv#cet4-w-6af5dd75fda7b45e411d,2026-09-17
cet4-w-7fade0b6e4380dd2c13b,concerning,concern,listed_related,"prep. 关于
[法] 关于",lexicalized,editorial_reviewed,retain_independent,关于，介词用法。,references/lexical.csv#cet4-w-7fade0b6e4380dd2c13b,2026-09-17
cet4-w-e43f37ad4b770818e4c0,considering,consider,listed_related,"prep. 就...而论
conj. 考虑到",lexicalized,editorial_reviewed,retain_independent,考虑到，介词或连词用法。,references/lexical.csv#cet4-w-e43f37ad4b770818e4c0,2026-09-17
cet4-w-f3d22936262a03311713,contented,content,listed_related,"a. 满足的, 心安的",lexicalized,editorial_reviewed,retain_independent,满足的，描述心理状态。,references/lexical.csv#cet4-w-f3d22936262a03311713,2026-09-17
cet4-w-e5088d65fe59d6b0eaa0,convincing,convince,listed_related,"a. 使人信服的, 有力的, 令人心悦诚服的",lexicalized,editorial_reviewed,retain_independent,令人信服的，描述说法或证据。,references/lexical.csv#cet4-w-e5088d65fe59d6b0eaa0,2026-09-17
cet4-w-02a556cb45788b318903,corresponding,correspond,listed_related,"a. 相当的, 一致的, 通信的
[计] 对应",lexicalized,editorial_reviewed,retain_independent,相应的，表示事物间的对应关系。,references/lexical.csv#cet4-w-02a556cb45788b318903,2026-09-17
cet4-w-83c322b375aa7e9b6805,crossing,cross,listed_related,"n. 横越, 横渡, 交叉点, 渡口
[经] 划线",lexicalized,editorial_reviewed,retain_independent,路口、人行横道、渡口等地点名词。,references/lexical.csv#cet4-w-83c322b375aa7e9b6805,2026-09-17
cet4-w-e1b28e200b35c37e2b5a,crowded,crowd,listed_related,"a. 拥挤的, 塞满的",lexicalized,editorial_reviewed,retain_independent,拥挤的，描述空间状态。,references/lexical.csv#cet4-w-e1b28e200b35c37e2b5a,2026-09-17
cet4-w-8f1e80c80964947107da,customs,custom,headword,"n. 海关, 关卡, 关税
[经] 关税, 海关",lexicalized,editorial_reviewed,retain_independent,海关、关税，与 custom 的习俗义复数区分。,references/lexical.csv#cet4-w-8f1e80c80964947107da,2026-09-17
cet4-w-5f05488a7f1273c35739,cycling,cycle,listed_related,"n. 骑脚踏车兜风, 骑脚踏车消遣
[机] 循环操作",lexicalized,editorial_reviewed,retain_independent,骑自行车，是活动名称。,references/lexical.csv#cet4-w-5f05488a7f1273c35739,2026-09-17
cet4-w-81455c50f12eb556b2c7,daring,dare,listed_related,a. 大胆的,lexicalized,editorial_reviewed,retain_independent,大胆的、胆量，具有形容词和名词用法。,references/lexical.csv#cet4-w-81455c50f12eb556b2c7,2026-09-17
cet4-w-c58294afad9cc3d74011,dating,date,listed_related,"[计] 记日期的
[经] 注明日期",reference_corrected,editorial_reviewed,retain_independent,约会、确定年代；原参考仅有记日期等专业义，须补常用名词义。,https://dictionary.cambridge.org/dictionary/english/dating,2026-09-17
cet4-w-f9805f4336b7049923f3,dealing,deal,listed_related,"n. 经营行为, 行为, 交易
[法] 待遇, 处置, 行为",lexicalized,editorial_reviewed,retain_independent,交易、经营行为，保留商业名词用法。,references/lexical.csv#cet4-w-f9805f4336b7049923f3,2026-09-17
cet4-w-ae2be157fca25b88dc79,demanding,demand,listed_related,"a. 要求高的, 费力的",lexicalized,editorial_reviewed,retain_independent,要求高的、费力的，描述任务或人。,references/lexical.csv#cet4-w-ae2be157fca25b88dc79,2026-09-17
cet4-w-6ad4be45db50b1d446c3,detailed,detail,listed_related,"a. 详细的, 复杂的
[法] 详细的, 详尽的",lexicalized,editorial_reviewed,retain_independent,详细的，描述信息的细致程度。,references/lexical.csv#cet4-w-6ad4be45db50b1d446c3,2026-09-17
cet4-w-9fb7d6f40584b1aa38ff,determined,determine,listed_related,"a. 坚决的, 已下决心的",lexicalized,editorial_reviewed,retain_independent,坚定的，描述决心。,references/lexical.csv#cet4-w-9fb7d6f40584b1aa38ff,2026-09-17
cet4-w-f9edcd3213541606b12b,disciplined,discipline,listed_related,a. 遵守纪律的；受过训练的,lexicalized,editorial_reviewed,retain_independent,自律的、训练有素的，描述行为品质。,references/lexical.csv#cet4-w-f9edcd3213541606b12b,2026-09-17
cet4-w-ad5ad651c93ba3d65d11,disgusting,disgust,listed_related,a. 令人厌恶的,lexicalized,editorial_reviewed,retain_independent,令人厌恶的，描述引起的感受。,references/lexical.csv#cet4-w-ad5ad651c93ba3d65d11,2026-09-17
cet4-w-d0ba34157a83e1d457a4,dove,dive,headword,"n. 鸽子
dive的过去式",homograph,editorial_reviewed,retain_independent,鸽子，是独立名词，不随 dive 的过去式删除。,references/lexical.csv#cet4-w-d0ba34157a83e1d457a4,2026-09-17
cet4-w-f77dc220af04385ebe48,drawing,draw,listed_related,"n. 图画, 制图, 拉
[计] 绘图",lexicalized,editorial_reviewed,retain_independent,图画、绘画，是作品或活动名称。,references/lexical.csv#cet4-w-f77dc220af04385ebe48,2026-09-17
cet4-w-f58a56e08652f19cefb5,drunk,drink,headword,"a. 喝醉了的
drink的过去式",lexicalized,editorial_reviewed,retain_independent,醉的、醉汉；drink 的过去分词为 drunk，原参考的过去式标注需纠正。,references/lexical.csv#cet4-w-f58a56e08652f19cefb5,2026-09-17
cet4-w-5b1264beb21f1da02ba9,dying,die,listed_related,"a. 垂死的
[法] 快要死的, 垂死的, 临终的",lexicalized,editorial_reviewed,retain_independent,垂死的，描述生命状态。,references/lexical.csv#cet4-w-5b1264beb21f1da02ba9,2026-09-17
cet4-w-78b7cef442f54f2f186a,encouraging,encourage,listed_related,"a. 鼓励的, 促进的",lexicalized,editorial_reviewed,retain_independent,令人鼓舞的，描述消息或进展。,references/lexical.csv#cet4-w-78b7cef442f54f2f186a,2026-09-17
cet4-w-978c97ec4cddf1442181,ending,end,listed_related,"n. 终止, 终了, 收场
[医] 末梢",lexicalized,editorial_reviewed,retain_independent,结尾、结局，指作品或事件的一部分。,references/lexical.csv#cet4-w-978c97ec4cddf1442181,2026-09-17
cet4-w-e6ecbd4b1ded9aecf0f4,enlightening,enlighten,listed_related,"a. 有启发作用的, 使人领悟的",lexicalized,editorial_reviewed,retain_independent,有启发的，描述信息带来的理解。,references/lexical.csv#cet4-w-e6ecbd4b1ded9aecf0f4,2026-09-17
cet4-w-924c96f538d5cdc7dea8,entertaining,entertain,listed_related,"a. 使人愉快的, 有趣的",lexicalized,editorial_reviewed,retain_independent,有趣的、令人愉快的，描述内容。,references/lexical.csv#cet4-w-924c96f538d5cdc7dea8,2026-09-17
cet4-w-e3f1bdff6f5765e79972,evening,even,headword,"n. 傍晚, 晚间, 末期",false_lemma,editorial_reviewed,retain_independent,傍晚、晚上不能按动词 even 的变化归并。,references/lexical.csv#cet4-w-e3f1bdff6f5765e79972,2026-09-17
cet4-w-112059f76d47759539f8,existing,exist,listed_related,"a. 存在的, 目前的, 现存的, 现有的
[计] 现成的, 已有的, 现存的",lexicalized,editorial_reviewed,retain_independent,现有的，用于区分已有和新添事物。,references/lexical.csv#cet4-w-112059f76d47759539f8,2026-09-17
cet4-w-1d9735e1cf33b291617c,experienced,experience,listed_related,"a. 富有经验的, 老练的, 熟练的",lexicalized,editorial_reviewed,retain_independent,有经验的，描述能力水平。,references/lexical.csv#cet4-w-1d9735e1cf33b291617c,2026-09-17
cet4-w-3806aed7f8dad6096432,extended,extend,listed_related,"a. 延续的, 伸出的, 竭尽全力的, 广大的, 扩大范围的
[法] 展期的, 延期的, 延长的",lexicalized,editorial_reviewed,retain_independent,延长的、扩大的，保留 extended family 等固定用法。,references/lexical.csv#cet4-w-3806aed7f8dad6096432,2026-09-17
cet4-w-51c23e1da50ebac844be,farming,farm,listed_related,"n. 农业, 耕作",lexicalized,editorial_reviewed,retain_independent,农业、农事，指行业或活动。,references/lexical.csv#cet4-w-51c23e1da50ebac844be,2026-09-17
cet4-w-e7d16e878ae22f89df79,farther,far,headword,"a. 更远的, 进一步的
adv. 更远的, 此外, far的比较级",irregular_comparison,editorial_reviewed,retain_independent,大纲单列的不规则比较级，表达空间距离更远；关联 far，不再额外扩充其他变化。,references/lexical.csv#cet4-w-e7d16e878ae22f89df79,2026-09-17
cet4-w-9e08b8ed639c89cb82af,feeling,feel,listed_related,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的",lexicalized,editorial_reviewed,retain_independent,感觉、情感，具有独立名词用法。,references/lexical.csv#cet4-w-9e08b8ed639c89cb82af,2026-09-17
cet4-w-ecefc86f83da8a8bb5bf,filling,fill,listed_related,"n. 充填物, 填料
[化] 加填; 填充",lexicalized,editorial_reviewed,retain_independent,馅料、填充物、补牙材料等物品名词。,references/lexical.csv#cet4-w-ecefc86f83da8a8bb5bf,2026-09-17
cet4-w-b64488cbd449a51e39b7,finding,find,listed_related,"n. 发现, 发现物, 决定, 裁决
[法] 调查结果, 对事实的认定, 判定的要素",lexicalized,editorial_reviewed,retain_independent,调查结果、发现，具有结果名词义。,references/lexical.csv#cet4-w-b64488cbd449a51e39b7,2026-09-17
cet4-w-36ca0971ace261bc8b21,fireworks,firework,headword,"n. 烟火, 激烈争论
[化] 焰火",syllabus_form,editorial_reviewed,retain_independent,考纲收录的烟花复数形式；当前目标表不另列 firework，在本条说明单复数。,references/lexical.csv#cet4-w-36ca0971ace261bc8b21,2026-09-17
cet4-w-20d93a003f78e3997afe,fishing,fish,listed_related,"n. 钓鱼, 鱼业
a. 钓鱼的",lexicalized,editorial_reviewed,retain_independent,钓鱼、捕鱼，是活动名称。,references/lexical.csv#cet4-w-20d93a003f78e3997afe,2026-09-17
cet4-w-6b92b3d93810d1018549,fixed,fix,listed_related,"a. 固定的, 不变的
[法] 固定的, 确定的, 不变的",lexicalized,editorial_reviewed,retain_independent,固定的，描述数额、位置等不变状态。,references/lexical.csv#cet4-w-6b92b3d93810d1018549,2026-09-17
cet4-w-0d5a54368772f4274af5,following,follow,listed_related,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的",lexicalized,editorial_reviewed,retain_independent,下列的、接下来的，并有追随者群体的名词义。,references/lexical.csv#cet4-w-0d5a54368772f4274af5,2026-09-17
cet4-w-2568812accbcbce8fa8d,forgiving,forgive,listed_related,"a. 宽大的, 容许有错误的",lexicalized,editorial_reviewed,retain_independent,宽容的，描述性格。,references/lexical.csv#cet4-w-2568812accbcbce8fa8d,2026-09-17
cet4-w-061c67da9148dbd355d2,found,find,headword,"vt. 建立, 创立, 铸造
find的过去式和过去分词",homograph,editorial_reviewed,retain_independent,创立、建立，是独立动词；另说明 find 的过去式同形。,references/lexical.csv#cet4-w-061c67da9148dbd355d2,2026-09-17
cet4-w-1b6e0ec6b3c9eb6a6edd,founding,found,listed_related,[计] 铸造,reference_corrected,editorial_reviewed,retain_independent,创立、创办，以及创始的；不只保留原参考的铸造专业义。,https://dictionary.cambridge.org/dictionary/english/founding,2026-09-17
cet4-w-a9dfef5e7dcd8565d094,frustrating,frustrate,listed_related,a. 令人沮丧的,lexicalized,editorial_reviewed,retain_independent,令人沮丧的，描述引起的感受。,references/lexical.csv#cet4-w-a9dfef5e7dcd8565d094,2026-09-17
cet4-w-af19924cccad60ad3b1d,funding,fund,listed_related,[经] 债务转期,reference_corrected,editorial_reviewed,retain_independent,资金、资助，是独立名词；不只保留债务转期这一专业义。,https://dictionary.cambridge.org/us/dictionary/english/funding,2026-09-17
cet4-w-beac2ae534b13a56b4a2,further,far,headword,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外",lexicalized,editorial_reviewed,retain_independent,进一步的、进一步地，以及促进的动词义。,references/lexical.csv#cet4-w-beac2ae534b13a56b4a2,2026-09-17
cet4-w-bd2df0c96a74fff87398,gathering,gather,listed_related,"n. 聚集, 集中, 采集
[化] 富集",lexicalized,editorial_reviewed,retain_independent,聚会、集会，是活动名称。,references/lexical.csv#cet4-w-bd2df0c96a74fff87398,2026-09-17
cet4-w-c777bc60f3e6d2548406,gifted,gift,listed_related,a. 有天才的,lexicalized,editorial_reviewed,retain_independent,有天赋的，描述能力。,references/lexical.csv#cet4-w-c777bc60f3e6d2548406,2026-09-17
cet4-w-8d351268e14f26d569da,given,give,headword,"a. 赠予的, 沉溺的, 约定的
give的过去分词",lexicalized,editorial_reviewed,retain_independent,规定的、特定的，以及考虑到的介词用法。,references/lexical.csv#cet4-w-8d351268e14f26d569da,2026-09-17
cet4-w-0310a6c10477251e0168,granted,grant,listed_related,"adv. 算是如此, 但是",lexicalized,editorial_reviewed,retain_independent,诚然、假定，保留让步或条件表达。,references/lexical.csv#cet4-w-0310a6c10477251e0168,2026-09-17
cet4-w-dfee3bcfbe8f6aaeaea5,greeting,greet,listed_related,"n. 祝贺, 问候",lexicalized,editorial_reviewed,retain_independent,问候、招呼，是独立名词。,references/lexical.csv#cet4-w-dfee3bcfbe8f6aaeaea5,2026-09-17
cet4-w-6670eb63d00350c182a9,ground,grind,headword,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词",homograph,editorial_reviewed,retain_independent,地面、土地、理由等名词义，不随 grind 的过去式删除。,references/lexical.csv#cet4-w-6670eb63d00350c182a9,2026-09-17
cet4-w-0d5fa73900f7bb9b3e7a,handicapped,handicap,listed_related,"a. 残疾的
[法] 有生理缺陷的, 残废的",lexicalized,editorial_reviewed,retain_independent,有残障的；正文需交代用语语境，避免作为称呼人的默认表达。,references/lexical.csv#cet4-w-0d5fa73900f7bb9b3e7a,2026-09-17
cet4-w-9377f21d61b121f485ba,heading,head,headword,"n. 标题, 起始字, 方向
[计] 上标题",lexicalized,editorial_reviewed,retain_independent,标题，是文档组成部分。,references/lexical.csv#cet4-w-9377f21d61b121f485ba,2026-09-17
cet4-w-d577cc7393b24c03d348,hearing,hear,listed_related,"n. 听, 听觉, 听讯
[医] 听, 听觉",lexicalized,editorial_reviewed,retain_independent,听力、听证会，具有独立名词义。,references/lexical.csv#cet4-w-d577cc7393b24c03d348,2026-09-17
cet4-w-eee01c4c2ef587308cd4,heated,heat,listed_related,"a. 热的, 激昂的, 兴奋的",lexicalized,editorial_reviewed,retain_independent,激烈的，保留 heated discussion 等引申用法。,references/lexical.csv#cet4-w-eee01c4c2ef587308cd4,2026-09-17
cet4-w-5e0fb787cd1d2bb5c05a,heating,heat,listed_related,"n. 加热, 供热, 暖气设备, 供暖系统, 暖气装置
a. 加热的, 供暖的",lexicalized,editorial_reviewed,retain_independent,供暖、暖气系统，是设施或活动名称。,references/lexical.csv#cet4-w-5e0fb787cd1d2bb5c05a,2026-09-17
cet4-w-22b8b04ce288a54c2827,hiding,hide,listed_related,"n. 隐匿, 隐藏之事, 隐匿之所, 痛打
[法] 躲藏, 躲藏处",lexicalized,editorial_reviewed,retain_independent,躲藏、藏身状态，保留 in hiding 等名词结构。,references/lexical.csv#cet4-w-22b8b04ce288a54c2827,2026-09-17
cet4-w-e8f3db190e926d96f676,housing,house,listed_related,"n. 遮盖, 住房供给, 居留(处), 房屋, 装饰
[化] 外壳",lexicalized,editorial_reviewed,retain_independent,住房、住房供给，不按 house 的普通变化删去。,references/lexical.csv#cet4-w-e8f3db190e926d96f676,2026-09-17
cet4-w-bd6c4e0c5385ee9eb3de,hunting,hunt,listed_related,"n. 狩猎, 猎狐, 探求
[计] 寻找平衡; 寻找",lexicalized,editorial_reviewed,retain_independent,狩猎，是活动名称。,references/lexical.csv#cet4-w-bd6c4e0c5385ee9eb3de,2026-09-17
cet4-w-922d8fa9245fa206e980,imaging,image,listed_related,"[计] 成象
[化] 成像",lexicalized,editorial_reviewed,retain_independent,成像，是技术或过程名称。,references/lexical.csv#cet4-w-922d8fa9245fa206e980,2026-09-17
cet4-w-8ab646c912a25e8eb253,imposing,impose,listed_related,"a. 令人难忘的, 壮丽的, 威风的",lexicalized,editorial_reviewed,retain_independent,壮观的、气势宏伟的，具有稳定形容词义。,references/lexical.csv#cet4-w-8ab646c912a25e8eb253,2026-09-17
cet4-w-a814ea0e5ceea9d8c99a,including,include,listed_related,"prep. 包含, 包括
[经] 包括, 算入",lexicalized,editorial_reviewed,retain_independent,包括，介词用法。,references/lexical.csv#cet4-w-a814ea0e5ceea9d8c99a,2026-09-17
cet4-w-c7965a5e8de3fecb09d5,interested,interest,listed_related,"a. 感兴趣的
[法] 有利害关系的, 有股份的, 偏私的",lexicalized,editorial_reviewed,retain_independent,感兴趣的，描述人的状态。,references/lexical.csv#cet4-w-c7965a5e8de3fecb09d5,2026-09-17
cet4-w-586ad8852b0ce897beae,inviting,invite,listed_related,"a. 引人动心的, 有魅力的
[法] 诱惑人的, 动人心的",lexicalized,editorial_reviewed,retain_independent,诱人的、吸引人的，描述事物性质。,references/lexical.csv#cet4-w-586ad8852b0ce897beae,2026-09-17
cet4-w-d8bf0b3998d0da4826dc,involved,involve,listed_related,"a. 难懂的, 复杂的, 不易懂的, 卷入...之中的, 累及..., 与...有关, 被纠缠的
[计] 包含, 涉及",lexicalized,editorial_reviewed,retain_independent,复杂的、有关的，保留形容词义项。,references/lexical.csv#cet4-w-d8bf0b3998d0da4826dc,2026-09-17
cet4-w-55bf16aba7fa8123ed18,landing,land,listed_related,"n. 登陆, 码头, 降落
[经] 上岸, 登陆, 降落",lexicalized,editorial_reviewed,retain_independent,降落、楼梯平台等名词义。,references/lexical.csv#cet4-w-55bf16aba7fa8123ed18,2026-09-17
cet4-w-e661a46d5a1744b48f2e,later,late,listed_related,"adv. 以后, 随后",lexicalized,editorial_reviewed,retain_independent,后来、以后，作为常用时间副词独立讲解。,references/lexical.csv#cet4-w-e661a46d5a1744b48f2e,2026-09-17
cet4-w-0287e7f24b809f85d98d,lay,lie,headword,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式",homograph,editorial_reviewed,retain_independent,放置、产卵，是独立动词；与 lie 的过去式区分。,references/lexical.csv#cet4-w-0287e7f24b809f85d98d,2026-09-17
cet4-w-366f95811fa9e85bcc9a,leading,lead,listed_related,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的",lexicalized,editorial_reviewed,retain_independent,主要的、领先的，描述地位或作用。,references/lexical.csv#cet4-w-366f95811fa9e85bcc9a,2026-09-17
cet4-w-35246d78d4aaac3c248b,learned,learn,listed_related,"a. 有学问的, 学术上的
learn的过去式和过去分词",lexicalized,editorial_reviewed,retain_independent,博学的，形容词读音与普通过去式有别。,references/lexical.csv#cet4-w-35246d78d4aaac3c248b,2026-09-17
cet4-w-a3c527992464b0a5a2a0,learning,learn,listed_related,"n. 学问, 学识, 学习
[计] 学习",lexicalized,editorial_reviewed,retain_independent,学问、学习，作为抽象名词讲解。,references/lexical.csv#cet4-w-a3c527992464b0a5a2a0,2026-09-17
