word_id,spelling,prerequisite_word_id,prerequisite_spelling,relation,evidence
cet4-w-6cd94ae4886768d442f2,acceptable,cet4-w-fe986222f5116ea3b17e,accept,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-45d62199f67daa2d9ed8,acceptance,cet4-w-fe986222f5116ea3b17e,accept,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-5caf0a3aa0c59b821237,accessible,cet4-w-6884dbea1171da92f87d,access,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-df7ac4809139e92350df,accidental,cet4-w-0f4159cadc2af6a38502,accident,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-1edda9ffe6c8d05f5ef0,accommodation,cet4-w-1f2a401710d0596de35f,accommodate,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-e8eb86c966ce85884d0d,accomplishment,cet4-w-d740153e791bc21b4bd6,accomplish,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-26b19ca0db642361e9b8,accordance,cet4-w-d74307e606e88ed5867e,accord,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-4c4dbcf45110b86d739b,accordingly,cet4-w-d74307e606e88ed5867e,accord,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-d3767c473ce4cee7c457,accountability,cet4-w-9f4e5df3b88f94a08810,accountable,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-9f4e5df3b88f94a08810,accountable,cet4-w-502dc8470d46995e3b29,account,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-fe4295e59378fe30b6a6,accountancy,cet4-w-502dc8470d46995e3b29,account,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-b70f4d52f626613ef678,accountant,cet4-w-502dc8470d46995e3b29,account,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-2a5ce4035df85fb684d5,accounting,cet4-w-502dc8470d46995e3b29,account,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-de298b2a0b4e2bf1363b,accumulation,cet4-w-b5bb411c0158c87ffbb7,accumulate,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-df9f11ffa31110b2f2c1,accumulative,cet4-w-b5bb411c0158c87ffbb7,accumulate,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-01f16ae66e034320cb43,accuracy,cet4-w-7a7aa95ab6907ff16ef0,accurate,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-0272a83810fd03a3dbf0,accusation,cet4-w-f5ff766854c64e6a7f21,accuse,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-5100359a7add5be3f74e,accustomed,cet4-w-44f596d480d72894a730,accustom,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-c0fd2ee8dcbbb3b36504,achievement,cet4-w-3fdc7170836acb699c27,achieve,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-bfffcba4cb08b4f5422e,acidity,cet4-w-6db3ca8c9f5f7f74501f,acid,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-c2c4b9de3e51ca864c7d,acknowledgement,cet4-w-5e9f2bb803ec3bbd7f59,acknowledge,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-ca462313c254fd6ecb87,acquaintance,cet4-w-029cb66143b2c6377b03,acquaint,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-bdb4812be6fe730050b8,acquisition,cet4-w-81853f95f10e012cafad,acquire,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-12952370deeb322c92b6,acting,cet4-w-dcc6b6de5d3f3f80ff02,act,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-fe4ad424f609f1c6e502,activist,cet4-w-560e8b954a1a6e8c9768,active,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
